PLOTID,POINTX,POINTY,LANDCOVER
169,2493222,5730011,High Producing Exotic Grassland
170,2494136,5730027,Broadleaved Indigenous Hardwoods
171,2495050,5730044,High Producing Exotic Grassland
172,2496878,5730077,High Producing Exotic Grassland
173,2497792,5730093,Manuka and or Kanuka
174,2498706,5730110,Broadleaved Indigenous Hardwoods
175,2499621,5730126,High Producing Exotic Grassland
176,2500535,5730143,High Producing Exotic Grassland
177,2501449,5730159,High Producing Exotic Grassland
178,2504191,5730209,Low Producing Grassland
179,2505105,5730225,High Producing Exotic Grassland
180,2474955,5728767,High Producing Exotic Grassland
181,2475869,5728784,High Producing Exotic Grassland
182,2476783,5728800,High Producing Exotic Grassland
183,2477697,5728817,High Producing Exotic Grassland
184,2478611,5728833,Gorse and Broom
185,2479526,5728850,Pine Forest - Closed Canopy
186,2480440,5728866,High Producing Exotic Grassland
187,2481354,5728883,High Producing Exotic Grassland
188,2482268,5728899,High Producing Exotic Grassland
192,2486839,5728981,High Producing Exotic Grassland
193,2487753,5728998,High Producing Exotic Grassland
194,2488667,5729014,High Producing Exotic Grassland
195,2489581,5729031,High Producing Exotic Grassland
196,2490496,5729047,Pine Forest - Open Canopy
197,2491410,5729064,High Producing Exotic Grassland
198,2492324,5729080,Manuka and or Kanuka
199,2493238,5729097,High Producing Exotic Grassland
200,2494152,5729113,High Producing Exotic Grassland
201,2495066,5729130,High Producing Exotic Grassland
203,2497809,5729179,Broadleaved Indigenous Hardwoods
204,2498723,5729196,Broadleaved Indigenous Hardwoods
205,2499637,5729212,High Producing Exotic Grassland
206,2500551,5729229,Manuka and or Kanuka
207,2501465,5729245,High Producing Exotic Grassland
208,2504208,5729294,High Producing Exotic Grassland
209,2505122,5729311,High Producing Exotic Grassland
210,2506036,5729327,High Producing Exotic Grassland
211,2507864,5729360,High Producing Exotic Grassland
212,2508779,5729377,High Producing Exotic Grassland
213,2509693,5729393,High Producing Exotic Grassland
214,2474971,5727853,Short-rotation Cropland
215,2475885,5727870,High Producing Exotic Grassland
216,2476799,5727886,High Producing Exotic Grassland
217,2477714,5727903,Gorse and Broom
218,2478628,5727919,Gorse and Broom
219,2479542,5727936,High Producing Exotic Grassland
220,2480456,5727952,Gorse and Broom
221,2481370,5727968,High Producing Exotic Grassland
222,2482285,5727985,High Producing Exotic Grassland
224,2484113,5728018,Pine Forest - Closed Canopy
226,2485941,5728051,High Producing Exotic Grassland
227,2486855,5728067,High Producing Exotic Grassland
228,2487769,5728084,Pine Forest - Closed Canopy
229,2488684,5728100,High Producing Exotic Grassland
230,2489598,5728117,High Producing Exotic Grassland
231,2490512,5728133,High Producing Exotic Grassland
232,2491426,5728150,High Producing Exotic Grassland
233,2492340,5728166,Broadleaved Indigenous Hardwoods
234,2493254,5728183,High Producing Exotic Grassland
235,2494169,5728199,High Producing Exotic Grassland
236,2495083,5728216,High Producing Exotic Grassland
237,2496911,5728248,High Producing Exotic Grassland
238,2497825,5728265,High Producing Exotic Grassland
239,2498739,5728281,High Producing Exotic Grassland
240,2499654,5728298,High Producing Exotic Grassland
241,2500568,5728314,High Producing Exotic Grassland
242,2501482,5728331,High Producing Exotic Grassland
243,2503310,5728364,Broadleaved Indigenous Hardwoods
244,2504224,5728380,High Producing Exotic Grassland
245,2505138,5728397,High Producing Exotic Grassland
246,2506053,5728413,High Producing Exotic Grassland
247,2506967,5728430,High Producing Exotic Grassland
248,2507881,5728446,High Producing Exotic Grassland
249,2508795,5728463,High Producing Exotic Grassland
250,2509709,5728479,High Producing Exotic Grassland
251,2474988,5726939,High Producing Exotic Grassland
252,2475902,5726956,Other Exotic Forest
253,2476816,5726972,Pine Forest - Closed Canopy
254,2477730,5726988,Gorse and Broom
255,2478644,5727005,Broadleaved Indigenous Hardwoods
256,2479558,5727021,High Producing Exotic Grassland
257,2480473,5727038,High Producing Exotic Grassland
258,2481387,5727054,High Producing Exotic Grassland
259,2482301,5727071,High Producing Exotic Grassland
260,2483215,5727087,High Producing Exotic Grassland
261,2484129,5727104,High Producing Exotic Grassland
262,2485043,5727120,High Producing Exotic Grassland
263,2485958,5727137,High Producing Exotic Grassland
264,2486872,5727153,High Producing Exotic Grassland
265,2487786,5727170,Broadleaved Indigenous Hardwoods
266,2488700,5727186,High Producing Exotic Grassland
267,2489614,5727202,High Producing Exotic Grassland
268,2490528,5727219,Gorse and Broom
269,2491443,5727235,High Producing Exotic Grassland
270,2492357,5727252,Manuka and or Kanuka
271,2493271,5727268,High Producing Exotic Grassland
272,2494185,5727285,High Producing Exotic Grassland
274,2496013,5727318,High Producing Exotic Grassland
275,2496928,5727334,High Producing Exotic Grassland
276,2497842,5727351,High Producing Exotic Grassland
277,2498756,5727367,Broadleaved Indigenous Hardwoods
278,2499670,5727384,High Producing Exotic Grassland
279,2500584,5727400,High Producing Exotic Grassland
280,2501498,5727417,High Producing Exotic Grassland
281,2503327,5727450,High Producing Exotic Grassland
282,2504241,5727466,High Producing Exotic Grassland
283,2505155,5727483,High Producing Exotic Grassland
284,2506069,5727499,High Producing Exotic Grassland
285,2506983,5727516,High Producing Exotic Grassland
286,2507897,5727532,High Producing Exotic Grassland
287,2508812,5727549,High Producing Exotic Grassland
288,2509726,5727565,High Producing Exotic Grassland
289,2511554,5727598,High Producing Exotic Grassland
290,2512468,5727615,High Producing Exotic Grassland
291,2475004,5726025,High Producing Exotic Grassland
292,2475918,5726041,Pine Forest - Closed Canopy
293,2476832,5726058,High Producing Exotic Grassland
294,2477747,5726074,High Producing Exotic Grassland
295,2478661,5726091,Gorse and Broom
296,2479575,5726107,High Producing Exotic Grassland
297,2480489,5726124,High Producing Exotic Grassland
298,2481403,5726140,High Producing Exotic Grassland
299,2482317,5726157,High Producing Exotic Grassland
300,2483232,5726173,High Producing Exotic Grassland
301,2484146,5726190,High Producing Exotic Grassland
302,2485060,5726206,Pine Forest - Open Canopy
303,2485974,5726222,Major Shelterbelts
304,2486888,5726239,High Producing Exotic Grassland
305,2487802,5726255,Broadleaved Indigenous Hardwoods
306,2488717,5726272,Low Producing Grassland
307,2489631,5726288,High Producing Exotic Grassland
308,2490545,5726305,High Producing Exotic Grassland
309,2491459,5726321,High Producing Exotic Grassland
310,2492373,5726338,High Producing Exotic Grassland
311,2493287,5726354,High Producing Exotic Grassland
312,2494202,5726371,High Producing Exotic Grassland
313,2495116,5726387,High Producing Exotic Grassland
314,2496030,5726404,High Producing Exotic Grassland
315,2496944,5726420,High Producing Exotic Grassland
316,2497858,5726437,High Producing Exotic Grassland
317,2498772,5726453,Gorse and Broom
318,2499687,5726470,High Producing Exotic Grassland
319,2500601,5726486,High Producing Exotic Grassland
321,2503343,5726536,Manuka and or Kanuka
322,2504257,5726552,High Producing Exotic Grassland
323,2505171,5726569,High Producing Exotic Grassland
324,2506086,5726585,High Producing Exotic Grassland
325,2507000,5726602,High Producing Exotic Grassland
326,2507914,5726618,High Producing Exotic Grassland
327,2508828,5726635,High Producing Exotic Grassland
328,2509742,5726651,Manuka and or Kanuka
329,2511570,5726684,High Producing Exotic Grassland
330,2512485,5726700,High Producing Exotic Grassland
331,2513399,5726717,High Producing Exotic Grassland
332,2474106,5725094,Short-rotation Cropland
333,2475021,5725111,High Producing Exotic Grassland
334,2475935,5725127,Pine Forest - Closed Canopy
335,2476849,5725144,Pine Forest - Closed Canopy
336,2477763,5725160,High Producing Exotic Grassland
337,2478677,5725177,Pine Forest - Closed Canopy
338,2479591,5725193,High Producing Exotic Grassland
339,2480506,5725209,High Producing Exotic Grassland
340,2481420,5725226,High Producing Exotic Grassland
341,2482334,5725242,High Producing Exotic Grassland
342,2483248,5725259,High Producing Exotic Grassland
343,2484162,5725275,High Producing Exotic Grassland
344,2485076,5725292,High Producing Exotic Grassland
345,2485991,5725308,High Producing Exotic Grassland
346,2486905,5725325,High Producing Exotic Grassland
347,2487819,5725341,Low Producing Grassland
348,2488733,5725358,Low Producing Grassland
349,2489647,5725374,High Producing Exotic Grassland
350,2490561,5725391,High Producing Exotic Grassland
351,2491476,5725407,High Producing Exotic Grassland
352,2492390,5725424,High Producing Exotic Grassland
353,2493304,5725440,Manuka and or Kanuka
354,2494218,5725457,High Producing Exotic Grassland
355,2495132,5725473,High Producing Exotic Grassland
356,2496046,5725490,High Producing Exotic Grassland
357,2496961,5725506,High Producing Exotic Grassland
358,2497875,5725522,High Producing Exotic Grassland
359,2498789,5725539,Manuka and or Kanuka
360,2499703,5725555,Pine Forest - Closed Canopy
361,2500617,5725572,High Producing Exotic Grassland
362,2502445,5725605,High Producing Exotic Grassland
363,2503360,5725621,Broadleaved Indigenous Hardwoods
364,2504274,5725638,High Producing Exotic Grassland
365,2505188,5725654,High Producing Exotic Grassland
366,2506102,5725671,High Producing Exotic Grassland
367,2507016,5725687,High Producing Exotic Grassland
368,2507930,5725704,High Producing Exotic Grassland
369,2508845,5725720,High Producing Exotic Grassland
370,2509759,5725737,Manuka and or Kanuka
371,2510673,5725753,High Producing Exotic Grassland
372,2511587,5725770,High Producing Exotic Grassland
373,2512501,5725786,High Producing Exotic Grassland
374,2513415,5725803,High Producing Exotic Grassland
375,2514329,5725819,High Producing Exotic Grassland
376,2515244,5725836,High Producing Exotic Grassland
377,2475037,5724197,Pine Forest - Closed Canopy
378,2475951,5724213,High Producing Exotic Grassland
379,2476865,5724229,High Producing Exotic Grassland
380,2477779,5724246,High Producing Exotic Grassland
381,2478694,5724262,Gorse and Broom
382,2479608,5724279,High Producing Exotic Grassland
383,2480522,5724295,Gorse and Broom
384,2481436,5724312,High Producing Exotic Grassland
385,2482350,5724328,High Producing Exotic Grassland
386,2483265,5724345,Pine Forest - Closed Canopy
387,2484179,5724361,High Producing Exotic Grassland
388,2485093,5724378,High Producing Exotic Grassland
389,2486007,5724394,High Producing Exotic Grassland
390,2486921,5724411,High Producing Exotic Grassland
391,2487835,5724427,High Producing Exotic Grassland
392,2488750,5724444,High Producing Exotic Grassland
393,2489664,5724460,High Producing Exotic Grassland
394,2490578,5724476,High Producing Exotic Grassland
395,2491492,5724493,High Producing Exotic Grassland
396,2492406,5724509,High Producing Exotic Grassland
397,2493320,5724526,Manuka and or Kanuka
398,2494235,5724542,High Producing Exotic Grassland
399,2495145,5724557,Pine Forest - Closed Canopy
400,2496063,5724575,High Producing Exotic Grassland
401,2496977,5724592,High Producing Exotic Grassland
402,2497891,5724608,High Producing Exotic Grassland
403,2498805,5724625,Manuka and or Kanuka
404,2499719,5724641,High Producing Exotic Grassland
405,2500634,5724658,High Producing Exotic Grassland
406,2502462,5724691,Pine Forest - Closed Canopy
407,2503376,5724707,High Producing Exotic Grassland
408,2504290,5724724,Broadleaved Indigenous Hardwoods
409,2505204,5724740,High Producing Exotic Grassland
410,2506119,5724757,High Producing Exotic Grassland
411,2507033,5724773,High Producing Exotic Grassland
412,2507947,5724790,High Producing Exotic Grassland
413,2508861,5724806,High Producing Exotic Grassland
414,2509775,5724823,High Producing Exotic Grassland
415,2510689,5724839,High Producing Exotic Grassland
416,2511603,5724856,High Producing Exotic Grassland
417,2512518,5724872,High Producing Exotic Grassland
418,2513432,5724889,High Producing Exotic Grassland
419,2514346,5724905,High Producing Exotic Grassland
420,2475053,5723282,High Producing Exotic Grassland
421,2475968,5723299,High Producing Exotic Grassland
422,2476882,5723315,Pine Forest - Closed Canopy
423,2477796,5723332,High Producing Exotic Grassland
424,2478710,5723348,High Producing Exotic Grassland
425,2479624,5723365,High Producing Exotic Grassland
426,2480538,5723381,High Producing Exotic Grassland
427,2481453,5723398,High Producing Exotic Grassland
428,2482367,5723414,High Producing Exotic Grassland
429,2483281,5723431,Pine Forest - Closed Canopy
430,2484195,5723447,Pine Forest - Closed Canopy
431,2485109,5723463,High Producing Exotic Grassland
432,2486024,5723480,High Producing Exotic Grassland
433,2486938,5723496,Gorse and Broom
434,2487852,5723513,High Producing Exotic Grassland
