Species;Family;Life-form;Biogeographical Status;Date of Naturalisation;Prevalence;Best _ 2X;Best C 2X;AUC;Kappa
Rytidosperma racemosum;Poaceae;Perennial;Alien;1879;0.13;-2;1;0.992;0.904
Rytidosperma unarede;Poaceae;Perennial;Native;-;0.08;0;1;0.987;0.852
Sagina apetala;Caryophyllaceae;Annual;Alien;1867;0.04;-1;1;0.973;0.878
Sagina procumbens;Caryophyllaceae;Perennial;Alien;1872;0.13;3;1;0.99;0.872
Sherardia arvensis;Rubiaceae;Annual;Alien;1867;0.04;0;1;0.973;0.877
Silene gallica;Caryophyllaceae;Annual;Alien;1842;0.14;-2;1;0.993;0.898
Silybum marianum;Asteraceae;Annual;Alien;1868;0.04;0;1;0.969;0.9
Sisymbrium officinale;Brassicaceae;Annual;Alien;1843;0.07;1;1;0.985;0.849
Sonchus oleraceus;Asteraceae;Annual;Alien;1827;0.07;-1;1;0.986;0.874
Stellaria media;Caryophyllaceae;Perennial;Alien;1827;0.17;1;1;0.974;0.853
Taraxacum officinale;Asteraceae;Perennial;Alien;1843;0.25;1;3;0.969;0.956
Trifolium dubium;Fabaceae;Annual;Alien;1868;0.54;2;1;0.938;0.924
Trifolium glomeratum;Fabaceae;Annual;Alien;1869;0.23;-2;0;0.985;0.932
Trifolium pratense;Fabaceae;Perennial;Alien;1867;0.09;2;1;0.978;0.863
Trifolium repens;Fabaceae;Perennial;Alien;1864;0.76;-1;0;0.983;0.903
Trifolium striatum;Fabaceae;Annual;Alien;1876;0.2;-2;0;0.985;0.98
Trifolium subterraneum;Fabaceae;Annual;Alien;1906;0.18;0;1;0.991;0.886
Urtica ferox;Urticaceae;Perennial;Native;-;0.08;0;1;0.98;0.848
Verbascum thapsus;Scrophulariaceae;Annual;Alien;1867;0.05;-2;2;0.967;0.882
Veronica arvensis;Scrophulariaceae;Annual;Alien;1867;0.1;2;1;0.974;0.86
Vicia sativa;Fabaceae;Annual;Alien;1867;0.44;0;0;0.964;0.904
Viola cunninghamii;Violaceae;Perennial;Native;-;0.04;-3;2;0.982;0.88
Vulpia bromoides;Poaceae;Annual;Alien;1843;0.27;-4;-2;0.986;0.951
Wahlenbergia gracilis;Campanulaceae;Perennial;Native;-;0.21;1;1;0.987;0.965
