wilson.names,wilson.code,fede.names,fede.code,source,,preferred name
Pilosella officinarum,PILOFF,Hieracium pilosella,HIEPIL,,NA,Hieracium pilosella
Plagianthus betulinus,PLABET,Plagianthus regius subsp. regius,PLARES,,NA,Plagianthus regius subsp. regius
Podocarpus spicatus,PODSPI,Prumnoptys taxifolia,PRUTAX,,NA,Prumnoptys taxifolia
Polygonum convolvulus,POLCON,Fallopia convolvulus,FALCON,,NA,Fallopia convolvulus
POLYSTICHUM RICHARDII,POLRIC,Polystichum neozelandicum,POLNEO,LR,,Polystichum neozelandicum
PSEUDOPANAX COLENSOI,NEOCOL,Pseudopanax colensoi,PSDCOL,LR,,Pseudopanax colensoi
Puccinellia novae-zealandiae,PUCNOV,Puccinella walkerii,PUCWAL,,NA,Puccinella walkerii
Scirpus habrus,SCIHAB,Isolepsis habra,ISOHAB,,NA,Isolepsis habra
Scirpus nodosus,SCINOD,Ficinia nodosa,FICNOD,,NA,Ficinia nodosa
Stipa nodosa,STINOD,Austrostipa nodosa,AUSNOD,fede,NA,Austrostipa nodosa
Stipa variabilis ,STIVAR,Austrostipa nodosa,AUSNOD,fede,NA,Austrostipa nodosa
,,Melicytus spp. J.R.Forst. & G.Forst.,MELICY,,,Melicytus spp. J.R.Forst. & G.Forst.
