Sp.code,SpeciesName,Growth.forms,Growth.forms_corrected,GROWTH_FORM_ALL,LIFE_DURATION,lifestyle,lifestyle.corrected,woody,lifeform,lifeform_corrected,source
OPHCOR,Ophioglossum coriaceum A.Cunn.,FE,,FE,P,P,,0,Hemicryptophyte,Hemicryptophyte,Growth.form:Fern
PAESCA,Paesia scaberula (A.Rich.) Kuhn,FE,,FE,P,P,,0,NA,Hemicryptophyte,Growth.form:Fern
PELROT,Pellaea rotundifolia (G.Forst.) Hook.,FE,,FE,P,P,,0,NA,Hemicryptophyte,Growth.form:Fern
PNEPEN,Pneumatopteris pennigera (G.Forst.) Holttum,FE,,FE,P,P,,0,Hemicryptophyte,Hemicryptophyte,Growth.form:Fern
POLSIL,Polystichum oculatum (Hook.) J.B.Armstr.,FE,,FE,P,P,,0,NA,Hemicryptophyte,Growth.form:Fern
POLVES,Polystichum vestitum (G.Forst.) C.Presl,FE,,FE,P,P,,0,NA,Hemicryptophyte,Growth.form:Fern
PTEESC,Pteridium esculentum (G.Forst.) Cockayne,FE,,FE,P,P,,0,Hemicryptophyte,Hemicryptophyte,Growth.form:Fern
PTETRE,Pteris tremula R.Br.,FE,,FE,P,P,,0,NA,Hemicryptophyte,Growth.form:Fern
TMESIP,Tmesipteris elongata P.A.Dang.,FE,,FE,P,P,,0,NA,Hemicryptophyte,Growth.form:Fern
TMETAN,Tmesipteris tannensis (Spreng.) Bernh.,FE,,FE,P,P,,0,NA,Hemicryptophyte,Growth.form:Fern
AGRCAP,Agrostis capillaris L.,GR,,MG,P,P,,0,Hemicryptophyte,Hemicryptophyte,
AGRGIG,Agrostis gigantea Roth,GR,,MG,P,P,,0,Hemicryptophyte,Hemicryptophyte,
AGRMUE,Agrostis muelleriana Vickery ,GR,,MG,P,P,,0,NA,Hemicryptophyte,http//www.nzpcn.org.nz
AGRSTO,Agrostis stolonifera L.,GR,,MG,P,P,,0,Hemicryptophyte,Hemicryptophyte,
ALOGEN,Alopecurus geniculatus L.,GR,,MG,P,P,,0,Hemicryptophyte,Hemicryptophyte,
ARRELA,Arrhenatherum elatius (L.) J.Presl & C.Presl,GR,,MG,P,P,,0,Hemicryptophyte,Hemicryptophyte,
ARTCAN,Arthropodium candidum Raoul,GR,,MG,P,P,,0,NA,Hemicryptophyte,
AUSNOD,Austrostipa nodosa (S.T.Blake) S.W.L.Jacobs & J.Everett,GR,,MG,P,P,,0,NA,Hemicryptophyte,
AVEFAT,Avena fatua L.,GR,,MG,P,P,A,0,Therophyte,Therophyte,tela botanica
BRALAG,Brachyglottis lagopus (Raoul) B.Nord.,GR,,MG,P,P,,0,NA,Hemicryptophyte,
BROCAT,Bromus catharticus Vahl,GR,,MG,P,P,,0,Hemicryptophyte,Hemicryptophyte,
BROLIT,Bromus lithobius Trin.,GR,,MG,P,P,,0,Hemicryptophyte,Hemicryptophyte,
BROMUS,Bromus spp. Scop.,GR,,MG,P,P,,0,NA,NA,
BROSTA,Bromus stamineus E.Desv.,GR,,MG,P,P,,0,Hemicryptophyte,Hemicryptophyte,
BROWIL,Bromus willdenowii Kunth,GR,,MG,P,P,,0,Hemicryptophyte,Hemicryptophyte,
CHICON,Chionochloa conspicua (G.Forst.) Zotov,GR,,MG,P,P,,0,Hemicryptophyte,Hemicryptophyte,
CHIRIG,Chionochloa rigida (Raoul) Zotov,GR,,MG,P,P,,0,Hemicryptophyte,Hemicryptophyte,
CORRIC,Cortaderia richardii (Endl.) Zotov,GR,,MG,P,P,,0,Hemicryptophyte,Hemicryptophyte,
CORSEL,Cortaderia selloana (Schult. & Schult.f.) Asch. & Graebn.,GR,,MG,P,P,,0,Hemicryptophyte,Hemicryptophyte,
CYNCRI,Cynosurus cristatus L.,GR,,MG,P,P,,0,Hemicryptophyte,Hemicryptophyte,
DACGLO,Dactylis glomerata L.,GR,,MG,P,P,,0,Hemicryptophyte,Hemicryptophyte,
DEYAVE,Deyeuxia avenoides (Hook.f.) Buchanan ,GR,,MG,P,P,,0,NA,Hemicryptophyte,
DICCRI,Dichelachne crinita (L.f.) Hook.f.,GR,,MG,P,P,,0,Hemicryptophyte,Hemicryptophyte,
ECHOVA,Echinopogon ovatus (G.Forst.) P.Beauv. ,GR,,MG,P,P,,0,NA,Hemicryptophyte,
ELEACU,Eleocharis acuta R.Br.,GR,,MG,P,P,,0,Hemicryptophyte,Hemicryptophyte,
ELYREC,Elymus rectisetus (Nees) Á.Löve & Connor,GR,,MG,P,P,,0,Hemicryptophyte,Hemicryptophyte,
ELYREP,Elytrigia repens (L.) Nevski,GR,,MG,P,P,,0,Hemicryptophyte,Hemicryptophyte,
