Habitat,Group,Order,Family,Species,SLA.Alien,SLA.Native,Hmax.Alien,Hmax.Native,SWT.Alien,SWT.Native,Ref
Tropical dry forest,Dicotyledons,Sapindales,Meliaceae,Trichilia pleeana,,,,30,,441,864; 884
Tropical dry forest,Dicotyledons,Sapindales,Meliaceae,Trichilia quadrijuga,,,,30,,55,864; 884
Tropical dry forest,Dicotyledons,Caryophyllales,Polygonaceae,Triplaris americana,,204,,16.12,,,641; 642
Tropical dry forest,Dicotyledons,Caryophyllales,Polygonaceae,Triplaris cumingiana,,,22.37,,53.285,,864; 888
Tropical dry forest,Dicotyledons,Caryophyllales,Polygonaceae,Triplaris dugandii,,,,30,,,864
Tropical dry forest,Dicotyledons,Rosales,Moraceae,Trymatococcus amazonicus,,,,15,,,864
Tropical dry forest,Dicotyledons,Crossosomatales,Staphyleaceae,Turpinia occidentalis,,123.5,,22.57,,60,864; 884
Tropical dry forest,Dicotyledons,Magnoliales,Annonaceae,Unonopsis perrottetii,,,,25,,410,300
Tropical dry forest,Dicotyledons,Magnoliales,Annonaceae,Unonopsis rufescens,,,,25,,90,300
Tropical dry forest,Dicotyledons,Magnoliales,Annonaceae,Unonopsis stipitata,,,,25,,880,300
Tropical dry forest,Dicotyledons,Rosales,Urticaceae,Urera caracasana,,203.7,,6.12,,0.3,641; 642; 884
Tropical dry forest,Dicotyledons,Magnoliales,Myristicaceae,Virola calophylla,,,,20,,1310,864; 884
Tropical dry forest,Dicotyledons,Magnoliales,Myristicaceae,Virola decorticans,,,,20,,,864
Tropical dry forest,Dicotyledons,Magnoliales,Myristicaceae,Virola divergens,,,,25,,,864
Tropical dry forest,Dicotyledons,Magnoliales,Myristicaceae,Virola elongata,,104.3,,15,,,864
Tropical dry forest,Dicotyledons,Magnoliales,Myristicaceae,Virola michelii,,,,40,,2440,300
Tropical dry forest,Dicotyledons,Magnoliales,Myristicaceae,Virola obovata,,,,8,,,864
Tropical dry forest,Dicotyledons,Magnoliales,Myristicaceae,Virola pavonis,,,,25,,,864
Tropical dry forest,Dicotyledons,Malpighiales,Clusiaceae,Vismia lauriformis,,,,25,,0.59,864; 884
Tropical dry forest,Dicotyledons,Malpighiales,Clusiaceae,Vismia macrophylla,,152.3,,12,,0.6,864; 884
Tropical dry forest,Dicotyledons,Lamiales,Verbenaceae,Vitex cymosa,,,,13.23,,355,864; 884
Tropical dry forest,Dicotyledons,Lamiales,Verbenaceae,Vitex schunkei,,,,8,,,864
Tropical dry forest,Dicotyledons,Myrtales,Vochysiaceae,Vochysia braceliniae,,,,30,,,864
Tropical dry forest,Dicotyledons,Myrtales,Vochysiaceae,Vochysia grandis,,,,40,,,864
Tropical dry forest,Dicotyledons,Myrtales,Vochysiaceae,Vochysia surinamensis,,,,40,,40,300
Tropical dry forest,Dicotyledons,Fabales,Fabaceae,Vouacapoua macropetala,,,,40,,7510,300
Tropical dry forest,Monocotyledons,Arecales,Arecaceae,Wettinia maynensis,,,,19,,,864
Tropical dry forest,Dicotyledons,Gentianales,Rubiaceae,Wittmackanthus stanleyanus,,,,35,,,864
Tropical dry forest,Dicotyledons,Myrtales,Lythraceae,Woodfordia fruticosa,,90.2,,,,,437; 883
Tropical dry forest,Dicotyledons,Gentianales,Apocynaceae,Wrightia tomentosa,,149.9,,,,2,883; 884
Tropical dry forest,Dicotyledons,Magnoliales,Annonaceae,Xylopia ligustrifolia,,,,20,,75,864; 884
Tropical dry forest,Dicotyledons,Sapindales,Rutaceae,Zanthoxylum sprucei,,162,,27,,,641; 642
Tropical dry forest,Dicotyledons,Rosales,Rhamnaceae,Ziziphus glaberrima,,100.5,,,,,883
Tropical dry forest,Dicotyledons,Rosales,Rhamnaceae,Ziziphus jujuba,92.9,,,,337.3,,437; 883; 884
Tropical dry forest,Dicotyledons,Fabales,Fabaceae,Zygia coccinea,,,,11,,,864
Tropical dry forest,Dicotyledons,Fabales,Fabaceae,Zygia heteroneura,,,,7,,,864
Tropical dry forest,Dicotyledons,Fabales,Fabaceae,Zygia lathetica,,,,15,,,864
