Habitat,Group,Order,Family,Species,SLA.Alien,SLA.Native,Hmax.Alien,Hmax.Native,SWT.Alien,SWT.Native,Ref
Boreal moist forest,Dicotyledons,Sapindales,Sapindaceae,Acer ginnala,,103.5,,10,,27.22,301; 884
Boreal moist forest,Dicotyledons,Sapindales,Sapindaceae,Acer platanoides,,124.2,,26.53,,143.324,576; 884
Boreal moist forest,Monocotyledons,Poales,Poaceae,Achnatherum splendens,,,,2.5,,0.57,301; 884
Boreal moist forest,Dicotyledons,Ranunculales,Ranunculaceae,Adonis vernalis,,144.5,,0.23,,,400; 883
Boreal moist forest,Dicotyledons,Apiales,Apiaceae,Aegopodium podagraria,303,,0.7,,2.28,,400; 883; 888
Boreal moist forest,Monocotyledons,Asparagales,Alliaceae,Allium rubens,,88.4,,,,,883
Boreal moist forest,Monocotyledons,Asparagales,Alliaceae,Allium senescens,,131.2,,0.12,,,301; 400
Boreal moist forest,Monocotyledons,Asparagales,Alliaceae,Allium strictum,,60.1,,,,,883
Boreal moist forest,Dicotyledons,Fagales,Betulaceae,Alnus crispa,,144.9,,3,,0.354,884; 98
Boreal moist forest,Monocotyledons,Asparagales,Asparagaceae,Anemarrhena asphodeloides,,,,1,,,301
Boreal moist forest,Dicotyledons,Ranunculales,Ranunculaceae,Anemone sylvestris,200.8,,0.15,,,,400; 883
Boreal moist forest,Monocotyledons,Poales,Poaceae,Aneurolepidium chinense,,,,1,,,301
Boreal moist forest,Dicotyledons,Asterales,Asteraceae,Antennaria dioica,,177.5,,0.13,,0.078,400; 883; 884
Boreal moist forest,Dicotyledons,Asterales,Asteraceae,Anthemis tinctoria,133.2,,0.38,,0.4,,400; 883; 884
Boreal moist forest,Dicotyledons,Gentianales,Apocynaceae,Apocynum androsaemifolium,,,,0.6,,0.29,884; 98
Boreal moist forest,Dicotyledons,Ranunculales,Ranunculaceae,Aquilegia vulgaris,295,,0.7,,1.67,,400; 883; 884
Boreal moist forest,Dicotyledons,Apiales,Araliaceae,Aralia nudicaulis,,,,0.3,,7.27,884; 98
Boreal moist forest,Dicotyledons,Asterales,Asteraceae,Arctium tomentosum,352.9,,0.83,,9.04,,400; 883; 884
Boreal moist forest,Dicotyledons,Ericales,Ericaceae,Arctostaphylos uva-ursi,,48.9,,0.66,,18.2,884; 98
Boreal moist forest,Dicotyledons,Asterales,Asteraceae,Artemisia absinthium,188.7,,0.95,,0.1,,883; 884
Boreal moist forest,Dicotyledons,Asterales,Asteraceae,Artemisia frigida,,,,,,0.08,301; 884
Boreal moist forest,Dicotyledons,Asterales,Asteraceae,Artemisia vulgaris,288,,1.51,,0.143,,883; 884
Boreal moist forest,Dicotyledons,Asterales,Asteraceae,Aster amellus,102.2,,0.28,,0.54,,400; 883; 884
Boreal moist forest,Dicotyledons,Ranunculales,Berberidaceae,Berberis vulgaris,117.4,,1.91,,13,,576; 884
Boreal moist forest,Dicotyledons,Fagales,Betulaceae,Betula platyphylla,,150.9,,15,,0.23,301; 884
Boreal moist forest,Monocotyledons,Poales,Cyperaceae,Blysmus rufus,94.9,,0.44,,1.06,,301; 400; 884
Boreal moist forest,Monocotyledons,Poales,Poaceae,Bromus inermis,,142.5,,0.6,,2.9,301; 400; 884
Boreal moist forest,Dicotyledons,Brassicales,Brassicaceae,Bunias orientalis,241.5,,0.6,,25.4,,400; 883; 884
Boreal moist forest,Dicotyledons,Asterales,Asteraceae,Cacalia hastata,,456.8,,,,,883
Boreal moist forest,Monocotyledons,Poales,Poaceae,Calamagrostis epigejos,,61,,1.5,,0.064,301; 400; 884
Boreal moist forest,Monocotyledons,Alismatales,Araceae,Calla palustris,429.3,,0.15,,1.59,,400; 883; 884
Boreal moist forest,Dicotyledons,Ranunculales,Ranunculaceae,Caltha palustris,,274,,0.26,,0.855,883; 884
Boreal moist forest,Dicotyledons,Asterales,Campanulaceae,Campanula sibirica,,147.2,,0.2,,,400; 883
Boreal moist forest,Dicotyledons,Brassicales,Brassicaceae,Capsella bursa-pastoris,270.2,,0.27,,0.243,,883; 886
Boreal moist forest,Dicotyledons,Myrtales,Onagraceae,Chamaenerion angustifolium,,,2,,0.15,,301; 884
Boreal moist forest,Dicotyledons,Caryophyllales,Amaranthaceae,Chenopodium album,173.5,,0.88,,1.483,,883; 886
Boreal moist forest,Dicotyledons,Saxifragales,Saxifragaceae,Chrysosplenium alternifolium,,500,,0.18,,0.058,400; 883; 884
Boreal moist forest,Dicotyledons,Asterales,Asteraceae,Cirsium arvense,,130.9,,0.92,,1.266,883; 884
Boreal moist forest,Monocotyledons,Poales,Poaceae,Cleistogenes squarrosa,,,,0.25,,,301
Boreal moist forest,Monocotyledons,Asparagales,Ruscaceae,Convallaria majalis,321.8,,0.15,,17.675,,400; 883; 888
Boreal moist forest,Dicotyledons,Cornales,Cornaceae,Cornus canadensis,,,,0.3,,10.67,884; 98
Boreal moist forest,Dicotyledons,Cornales,Cornaceae,Cornus sanguinea,,183.6,,3.11,,72.4,576; 884
Boreal moist forest,Dicotyledons,Fagales,Betulaceae,Corylus avellana,219.9,,5.57,,1192.3,,576; 884
Boreal moist forest,Dicotyledons,Fagales,Betulaceae,Corylus cornuta,,302.2,,3.01,,831.293,885; 98
Boreal moist forest,Dicotyledons,Rosales,Rosaceae,Cotoneaster acutifolius,,,,1.8,,21.4,301; 884
Boreal moist forest,Dicotyledons,Rosales,Rosaceae,Crataegus curvisepala,,118,,4.54,,,576
Boreal moist forest,Dicotyledons,Rosales,Rosaceae,Crataegus monogyna,113.9,,5.8,,123.351,,576; 888
Boreal moist forest,Dicotyledons,Malvales,Thymelaeaceae,Daphne mezereum,,279.9,,1.16,,90.7,576; 884
Boreal moist forest,Dicotyledons,Ranunculales,Ranunculaceae,Delphinium grandiflorum,,,,,,1,301; 884
Boreal moist forest,Dicotyledons,Brassicales,Brassicaceae,Descurainia sophia,,140,,0.58,,0.1,301; 400; 884
Boreal moist forest,Dicotyledons,Caryophyllales,Caryophyllaceae,Dianthus acicularis,,400,,,,,883
Boreal moist forest,Dicotyledons,Caryophyllales,Caryophyllaceae,Dianthus chinensis,,,,,,1.6,301; 884
Boreal moist forest,Dicotyledons,Caryophyllales,Caryophyllaceae,Dianthus versicolor,,140.6,,,,,883
Boreal moist forest,Dicotyledons,Lamiales,Scrophulariaceae,Digitalis grandiflora,388.2,,0.53,,0.18,,400; 883; 884
Boreal moist forest,Dicotyledons,Asterales,Asteraceae,Echinops ritro,,102.9,,,,6.47,883; 884
Boreal moist forest,Dicotyledons,Myrtales,Onagraceae,Epilobium angustifolium,,231.7,,1.29,,0.26,883; 884
Boreal moist forest,Dicotyledons,Geraniales,Geraniaceae,Erodium cicutarium,,357.7,,0.38,,1.755,883; 884
Boreal moist forest,Dicotyledons,Celastrales,Celastraceae,Euonymus bungeanus,,,,8,,30.88,301; 884
Boreal moist forest,Dicotyledons,Rosales,Rosaceae,Filipendula ulmaria,,201.1,,1.08,,0.844,883; 884
Boreal moist forest,Dicotyledons,Rosales,Rosaceae,Filipendula vulgaris,280.8,,0.48,,0.81,,400; 883; 884
Boreal moist forest,Dicotyledons,Rosales,Rosaceae,Fragaria vesca,,237.5,,0.19,,0.313,883; 884
Boreal moist forest,Dicotyledons,Rosales,Rosaceae,Fragaria virginiana,,,,,,0.46,884; 98
Boreal moist forest,Dicotyledons,Rosales,Rosaceae,Fragaria viridis,,267.8,,0.08,,,400; 883
Boreal moist forest,Dicotyledons,Lamiales,Oleaceae,Fraxinus excelsior,,172.4,,27.01,,54.408,576; 884
Boreal moist forest,Dicotyledons,Ranunculales,Papaveraceae,Fumaria officinalis,219.2,,0.58,,3.17,,400; 883; 884
Boreal moist forest,Dicotyledons,Gentianales,Rubiaceae,Galium boreale,,146.8,,0.38,,0.64,400; 883; 884
Boreal moist forest,Dicotyledons,Gentianales,Rubiaceae,Galium mollugo,493.3,,0.5,,0.7,,400; 883; 884
Boreal moist forest,Dicotyledons,Gentianales,Rubiaceae,Galium verum,,265.9,,0.38,,0.482,883; 884
Boreal moist forest,Dicotyledons,Ericales,Ericaceae,Gaultheria procumbens,,,1.5,,0.16,,884; 98
Boreal moist forest,Dicotyledons,Fabales,Fabaceae,Genista tinctoria,117.6,,1.05,,5.6,,400; 883; 884
Boreal moist forest,Dicotyledons,Lamiales,Lamiaceae,Glechoma hederacea,408.5,,0.27,,0.69,,400; 883; 884
Boreal moist forest,Dicotyledons,Fabales,Fabaceae,Glycyrrhiza uralensis,,,,,,10.55,301; 884
Boreal moist forest,Dicotyledons,Caryophyllales,Caryophyllaceae,Herniaria glabra,78.5,,0.16,,0.08,,400; 883; 884
Boreal moist forest,Dicotyledons,Asterales,Asteraceae,Heteropappus altaicus,,,,,,0.89,301; 884
Boreal moist forest,Dicotyledons,Lamiales,Plantaginaceae,Hippuris vulgaris,274.3,,0.41,,0.92,,301; 400; 884
Boreal moist forest,Dicotyledons,Solanales,Solanaceae,Hyoscyamus niger,281.7,,0.5,,0.6,,400; 883; 884
Boreal moist forest,Dicotyledons,Ericales,Balsaminaceae,Impatiens noli-tangere,,694.4,,0.6,,4.98,400; 883; 884
Boreal moist forest,Dicotyledons,Asterales,Asteraceae,Inula hirta,,159,,0.28,,1.12,400; 883; 884
Boreal moist forest,Dicotyledons,Dipsacales,Dipsacaceae,Knautia arvensis,,253.4,,0.63,,4.24,400; 883; 884
Boreal moist forest,Dicotyledons,Caryophyllales,Amaranthaceae,Kochia prostrata,,,,,,0.44,301; 884
Boreal moist forest,Monocotyledons,Poales,Poaceae,Koeleria cristata,72.1,,0.6,,0.21,,301; 884
Boreal moist forest,Dicotyledons,Fabales,Fabaceae,Lathyrus vernus,,353.4,,0.33,,15,883; 884
Boreal moist forest,Dicotyledons,Ericales,Ericaceae,Ledum groenlandicum,,,,,,0.02,884; 98
Boreal moist forest,Dicotyledons,Lamiales,Lamiaceae,Leonurus sibiricus,,,,,,1.2,301; 884
Boreal moist forest,Dicotyledons,Brassicales,Brassicaceae,Lepidium ruderale,197.2,,0.18,,0.3,,400; 883; 884
Boreal moist forest,Dicotyledons,Fabales,Fabaceae,Lespedeza juncea,,,,,,1.21,301; 884
Boreal moist forest,Dicotyledons,Asterales,Asteraceae,Leucanthemum vulgare,,206,,0.47,,0.387,883; 884
Boreal moist forest,Monocotyledons,Liliales,Liliaceae,Lilium martagon,257.7,,0.53,,7.32,,400; 883; 884
Boreal moist forest,Dicotyledons,Lamiales,Scrophulariaceae,Linaria vulgaris,,,,0.61,,0.15,301; 884
Boreal moist forest,Dicotyledons,Dipsacales,Caprifoliaceae,Linnaea borealis,226.8,,0.21,,2,,400; 883; 884
Boreal moist forest,Dicotyledons,Dipsacales,Caprifoliaceae,Lonicera xylosteum,267,,1.51,,4,,576; 884
Boreal moist forest,Dicotyledons,Fabales,Fabaceae,Lupinus polyphyllus,314.5,,1.01,,17.6,,400; 883; 886
Boreal moist forest,Monocotyledons,Asparagales,Ruscaceae,Maianthemum bifolium,,342.4,,0.13,,10.005,400; 883; 884
Boreal moist forest,Monocotyledons,Asparagales,Ruscaceae,Maianthemum canadense,,,,0.22,,9.06,884; 98
Boreal moist forest,Dicotyledons,Rosales,Rosaceae,Malus baccata,,88.9,,,,38.117,301; 884
Boreal moist forest,Dicotyledons,Lamiales,Scrophulariaceae,Melampyrum pratense,,200.3,,0.31,,5.642,883; 884
Boreal moist forest,Dicotyledons,Ericales,Ericaceae,Moneses uniflora,,176.4,,0.09,,,400; 883
Boreal moist forest,Dicotyledons,UnplacedEuasteridI,Boraginaceae,Myosotis palustris,,530.9,,,,,883
Boreal moist forest,Monocotyledons,Asparagales,Orchidaceae,Neottianthe cucullata,,476.2,,,,,883
Boreal moist forest,Dicotyledons,Fabales,Fabaceae,Onobrychis arenaria,,183,,0.15,,22.9,400; 883; 884
Boreal moist forest,Dicotyledons,Lamiales,Lamiaceae,Origanum vulgare,74.3,,0.65,,0.1,,883; 884
Boreal moist forest,Dicotyledons,Ericales,Ericaceae,Orthilia secunda,170,,0.08,,0.001,,400; 883; 884
Boreal moist forest,Dicotyledons,Rosales,Rosaceae,Padus avium,,173,,18,,,576
Boreal moist forest,Dicotyledons,Lamiales,Scrophulariaceae,Pedicularis palustris,189.9,,0.34,,0.69,,301; 400; 884
Boreal moist forest,Dicotyledons,Lamiales,Plantaginaceae,Plantago media,177.2,,0.37,,0.32,,400; 883; 884
Boreal moist forest,Monocotyledons,Asparagales,Orchidaceae,Platanthera bifolia,,281.7,,0.16,,,400; 883
Boreal moist forest,Dicotyledons,Fabales,Polygalaceae,Polygala sibirica,,144.1,,,,,883
Boreal moist forest,Dicotyledons,Fabales,Polygalaceae,Polygala vulgaris,,185.7,,0.1,,1.76,883; 884
Boreal moist forest,Monocotyledons,Asparagales,Ruscaceae,Polygonatum officinale,,281.6,,,,37.3,883; 884
Boreal moist forest,Dicotyledons,Caryophyllales,Polygonaceae,Polygonum aviculare,217.2,,0.68,,1.163,,883; 886
Boreal moist forest,Dicotyledons,Caryophyllales,Polygonaceae,Polygonum bistorta,236.3,,0.42,,4.81,,400; 883; 884
Boreal moist forest,Dicotyledons,Malpighiales,Salicaceae,Populus tremuloides,,125.7,,13.05,,0.1,884; 98
Boreal moist forest,Dicotyledons,Rosales,Rosaceae,Potentilla erecta,301.6,,0.21,,0.454,,400; 883; 884
Boreal moist forest,Dicotyledons,Rosales,Rosaceae,Potentilla palustris,189.9,,0.54,,0.422,,888; 98
Boreal moist forest,Dicotyledons,Rosales,Rosaceae,Prunus padus,,169.5,,12,,123,301; 400; 884
Boreal moist forest,Dicotyledons,Ericales,Ericaceae,Pyrola media,,205.3,,0.17,,,400; 883
Boreal moist forest,Dicotyledons,Ericales,Ericaceae,Pyrola minor,,237.8,,0.16,,0.001,400; 883; 884
Boreal moist forest,Dicotyledons,Ericales,Ericaceae,Pyrola rotundifolia,,159,,0.22,,0.001,400; 883
Boreal moist forest,Dicotyledons,Fagales,Fagaceae,Quercus robur,148.7,,37.22,,3378,,576; 884
Boreal moist forest,Dicotyledons,Saxifragales,Grossulariaceae,Ribes alpinum,169,,1.54,,4.3,,576; 884
Boreal moist forest,Dicotyledons,Saxifragales,Grossulariaceae,Ribes nigrum,179.4,,1.65,,,,576
Boreal moist forest,Dicotyledons,Rosales,Rosaceae,Rosa acicularis,,,,,,10.93,884; 98
Boreal moist forest,Dicotyledons,Rosales,Rosaceae,Rosa coriifolia,192,,2,,,,576
Boreal moist forest,Dicotyledons,Rosales,Rosaceae,Rosa subcanina,,83,,1.57,,,576
Boreal moist forest,Dicotyledons,Caryophyllales,Polygonaceae,Rumex acetosella,,197.7,,0.27,,0.364,883; 884
Boreal moist forest,Dicotyledons,Malpighiales,Salicaceae,Salix aurita,,115.6,,1.78,,,576
Boreal moist forest,Dicotyledons,Malpighiales,Salicaceae,Salix caprea,,150.8,,7.92,,,576
Boreal moist forest,Dicotyledons,Malpighiales,Salicaceae,Salix cinerea,,97.2,,2.34,,,400; 576
Boreal moist forest,Dicotyledons,Malpighiales,Salicaceae,Salix myrsinifolia,107,,2.04,,,,576
Boreal moist forest,Dicotyledons,Malpighiales,Salicaceae,Salix phylicifolia,,103.3,,1.65,,,576
Boreal moist forest,Dicotyledons,Malpighiales,Salicaceae,Salix rosmarinifolia,,141,,1.1,,,576
Boreal moist forest,Dicotyledons,Malpighiales,Salicaceae,Salix sp.,85.1,85.1,10,10,0.09,0.09,301; 884
Boreal moist forest,Dicotyledons,Rosales,Rosaceae,Sanguisorba officinalis,,206.7,,0.58,,2.1,400; 883; 884
Boreal moist forest,Dicotyledons,Saxifragales,Crassulaceae,Sedum acre,50,,0.09,,0.035,,883; 884
Boreal moist forest,Dicotyledons,Saxifragales,Crassulaceae,Sedum purpureum,,36.9,,,,,883
Boreal moist forest,Dicotyledons,Asterales,Asteraceae,Solidago canadensis,,133,,1.42,,0.101,884; 98
Boreal moist forest,Monocotyledons,Poales,Typhaceae,Sparganium erectum,,169.7,,0.83,,17.661,883; 884
Boreal moist forest,Dicotyledons,Caryophyllales,Caryophyllaceae,Spergula arvensis,141,,0.4,,0.301,,883; 884
Boreal moist forest,Dicotyledons,Caryophyllales,Caryophyllaceae,Spergularia rubra,123.3,,0.15,,0.07,,400; 883; 884
Boreal moist forest,Dicotyledons,Lamiales,Lamiaceae,Stachys officinalis,193.3,,0.26,,5.855,,883; 884
Boreal moist forest,Dicotyledons,Caryophyllales,Caryophyllaceae,Stellaria media,,430.4,,0.26,,0.361,883; 884
Boreal moist forest,Dicotyledons,Lamiales,Oleaceae,Syringa vulgaris,118.8,,5.44,,5.6,,576; 884
Boreal moist forest,Dicotyledons,Asterales,Asteraceae,Tanacetum vulgare,246.8,,0.83,,0.304,,400; 883; 886
Boreal moist forest,Dicotyledons,Ranunculales,Ranunculaceae,Thalictrum simplex,,220.1,,0.35,,,400; 883
Boreal moist forest,Dicotyledons,Brassicales,Brassicaceae,Thlaspi arvense,152.5,,0.43,,1,,400; 883; 884
Boreal moist forest,Dicotyledons,Malvales,Malvaceae,Tilia cordata,,270.1,,22.28,,40,576; 884
Boreal moist forest,Dicotyledons,Ericales,Primulaceae,Trientalis europaea,,416.7,,0.13,,0.39,400; 883; 884
Boreal moist forest,Dicotyledons,Fabales,Fabaceae,Trifolium pratense,239.5,,0.51,,1.478,,883; 884
Boreal moist forest,Dicotyledons,Fabales,Fabaceae,Trifolium repens,264.4,,0.18,,0.512,,883; 886
Boreal moist forest,Dicotyledons,Ranunculales,Ranunculaceae,Trollius europaeus,,188,,0.33,,1,400; 883; 884
Boreal moist forest,Monocotyledons,Poales,Typhaceae,Typha latifolia,,90.2,,2.15,,0.067,883; 884
Boreal moist forest,Dicotyledons,Rosales,Ulmaceae,Ulmus glabra,,281,,26.63,,11.795,576; 884
Boreal moist forest,Dicotyledons,Rosales,Ulmaceae,Ulmus pumila,,58.9,,15,,6.2,301; 884
Boreal moist forest,Dicotyledons,Ericales,Ericaceae,Vaccinium myrtilloides,,,,,,0.2,884; 98
Boreal moist forest,Dicotyledons,Ericales,Ericaceae,Vaccinium myrtillus,,233.1,,0.41,,0.298,883; 884
Boreal moist forest,Dicotyledons,Ericales,Ericaceae,Vaccinium vitis-idaea,,81.4,,0.81,,0.296,400; 884; 98
Boreal moist forest,Dicotyledons,Lamiales,Scrophulariaceae,Verbascum thapsus,,164.7,,1.25,,0.127,400; 883; 884
Boreal moist forest,Dicotyledons,Lamiales,Scrophulariaceae,Veronica chamaedrys,293.1,,0.22,,0.216,,400; 883; 888
Boreal moist forest,Dicotyledons,Lamiales,Scrophulariaceae,Veronica longifolia,205.9,,0.75,,0.1,,400; 883; 884
Boreal moist forest,Dicotyledons,Lamiales,Scrophulariaceae,Veronica spicata,,128.5,,0.34,,0.2,400; 883; 884
Boreal moist forest,Dicotyledons,Dipsacales,Caprifoliaceae,Viburnum edule,,,,,,21.32,884; 98
Boreal moist forest,Dicotyledons,Dipsacales,Caprifoliaceae,Viburnum opulus,,182.1,,3.1,,35,576; 884
Boreal moist forest,Dicotyledons,Fabales,Fabaceae,Vicia unijuga,,,,0.5,,,301
Boreal moist forest,Dicotyledons,Gentianales,Apocynaceae,Vincetoxicum hirundinaria,,456.8,,0.75,,7.19,400; 883; 884
Boreal moist forest,Dicotyledons,Malpighiales,Violaceae,Viola canina,,300.3,,0.1,,1.11,400; 883; 884
Boreal moist forest,Dicotyledons,Malpighiales,Violaceae,Viola mirabilis,,584.8,,0.2,,2.6,400; 883; 884
Boreal rain forest,Monocotyledons,Asparagales,Orchidaceae,Aa sp.,,94.3,,,,,883
Boreal rain forest,Dicotyledons,Asterales,Asteraceae,Achillea erba-rotta,,222,,,,,883
Boreal rain forest,Dicotyledons,Asterales,Asteraceae,Achillea millefolium,187.4,,0.45,,0.196,,418; 884
Boreal rain forest,Monocotyledons,Poales,Poaceae,Agrostis nigritella,,107.5,,,,,883
Boreal rain forest,Dicotyledons,Rosales,Rosaceae,Alchemilla orbiculata,,76.9,,,,,883
Boreal rain forest,Dicotyledons,Rosales,Rosaceae,Alchemilla sp.,,107.5,,,,0.46,883; 884
Boreal rain forest,Dicotyledons,Rosales,Rosaceae,Alchemilla verticillata,,363.5,,,,,883
Boreal rain forest,Dicotyledons,Brassicales,Brassicaceae,Arabis alpina,237.5,,0.23,,0.285,,883; 888
Boreal rain forest,Dicotyledons,Brassicales,Brassicaceae,Arabis caerulea,,213.7,,0.06,,,400; 883
Boreal rain forest,Dicotyledons,Brassicales,Brassicaceae,Arabis hirsuta,,201,,0.38,,0.154,418; 884
Boreal rain forest,Dicotyledons,Asterales,Asteraceae,Artemisia genipi,,241.8,,,,0.22,883; 884
Boreal rain forest,Dicotyledons,Fabales,Fabaceae,Astragalus geminiflorus,,73.9,,,,,883
Boreal rain forest,Dicotyledons,Apiales,Apiaceae,Azorella pedunculata,,77.5,,,,,883
Boreal rain forest,Dicotyledons,Asterales,Asteraceae,Baccharis arbutifolia,,104.7,,1,,,883
Boreal rain forest,Monocotyledons,Liliales,Alstroemeriaceae,Bomarea glaucescens,,87.7,,,,,883
Boreal rain forest,Monocotyledons,Poales,Poaceae,Bromus lanatus,,116.3,,,,,883
Boreal rain forest,Monocotyledons,Poales,Poaceae,Calamagrostis intermedia,,50.3,,,,,883
Boreal rain forest,Dicotyledons,Caryophyllales,Portulacaceae,Calandrinia acaulis,,100,,0.05,,,883
Boreal rain forest,Dicotyledons,Ranunculales,Ranunculaceae,Caltha palustris,,274,,0.26,,0.855,418; 884
Boreal rain forest,Dicotyledons,Asterales,Campanulaceae,Campanula barbata,,190.6,,0.19,,0.05,400; 883; 884
Boreal rain forest,Dicotyledons,Asterales,Campanulaceae,Campanula glomerata,270.9,,0.27,,0.13,,883; 884
Boreal rain forest,Monocotyledons,Poales,Cyperaceae,Carex pichinchensis,,113.6,,,,,883
Boreal rain forest,Dicotyledons,Apiales,Apiaceae,Carum carvi,264.2,,0.45,,2.5,,400; 883; 884
Boreal rain forest,Dicotyledons,Lamiales,Scrophulariaceae,Castilleja fissifolia,,208.3,,,,,883
Boreal rain forest,Dicotyledons,Lamiales,Scrophulariaceae,Castilleja sp.,,151.5,,,,,883
Boreal rain forest,Dicotyledons,Caryophyllales,Caryophyllaceae,Cerastium arvense,100,,0.17,,0.21,,418; 884
Boreal rain forest,Dicotyledons,Caryophyllales,Caryophyllaceae,Cerastium mollissimum,,161.5,,,,,883
Boreal rain forest,Dicotyledons,Caryophyllales,Caryophyllaceae,Cerastium uniflorum,,334.4,,0.04,,,400; 883
Boreal rain forest,Dicotyledons,Asterales,Asteraceae,Chrysanthemum leucanthemum,,193.9,,,,0.57,418; 884
Boreal rain forest,Dicotyledons,Asterales,Asteraceae,Chuquiraga jussieui,,67.4,,1,,,883
Boreal rain forest,Dicotyledons,Asterales,Asteraceae,Diplostephium rupestre,,65,,1,,,883
Boreal rain forest,Dicotyledons,Asterales,Asteraceae,Doronicum clusii,,205,,,,,883
Boreal rain forest,Dicotyledons,Brassicales,Brassicaceae,Draba aretioides,,131.6,,,,,883
Boreal rain forest,Dicotyledons,Ranunculales,Ranunculaceae,Eranthis hyemalis,227,,0.1,,4.521,,418; 884
Boreal rain forest,Dicotyledons,Asterales,Asteraceae,Erigeron acer,,177.1,,0.22,,0.11,400; 418; 884
Boreal rain forest,Dicotyledons,Asterales,Asteraceae,Erigeron ecuadoriensis,,151.5,,,,,883
Boreal rain forest,Dicotyledons,Asterales,Asteraceae,Erigeron uniflorus,,211.2,,0.06,,0.18,400; 883; 884
Boreal rain forest,Dicotyledons,Gentianales,Gentianaceae,Gentiana bavarica,,160.6,,0.06,,,400; 883
Boreal rain forest,Dicotyledons,Gentianales,Gentianaceae,Gentiana kochiana,,145.8,,,,,883
Boreal rain forest,Dicotyledons,Gentianales,Gentianaceae,Gentianella nummularifolia,,153.9,,,,,883
Boreal rain forest,Dicotyledons,Geraniales,Geraniaceae,Geranium confertum,,125,,,,,883
Boreal rain forest,Dicotyledons,Geraniales,Geraniaceae,Geranium sp.,166.7,,,,,,883
Boreal rain forest,Dicotyledons,Rosales,Rosaceae,Geum montanum,,142.5,,0.14,,,400; 883
Boreal rain forest,Dicotyledons,Rosales,Rosaceae,Geum reptans,,156.9,,0.08,,,400; 418
Boreal rain forest,Dicotyledons,Rosales,Rosaceae,Geum rivale,,230.8,,0.53,,0.905,883; 884
Boreal rain forest,Dicotyledons,Rosales,Rosaceae,Geum urbanum,,272.5,,0.45,,1.178,418; 884
Boreal rain forest,Dicotyledons,Gunnerales,Gunneraceae,Gunnera magellanica,,91.7,,,,,883
Boreal rain forest,Dicotyledons,Asterales,Asteraceae,Gynoxys sp.,,59.1,,4,,,883
Boreal rain forest,Dicotyledons,Gentianales,Gentianaceae,Halenia weddelliana,,113.6,,,,,883
Boreal rain forest,Dicotyledons,Asterales,Asteraceae,Hypochaeris sonchoides,,114.9,,0.35,,,883
Boreal rain forest,Dicotyledons,Asterales,Asteraceae,Leontodon hispidus,160,,0.27,,1.054,,418; 884
Boreal rain forest,Dicotyledons,Asterales,Asteraceae,Leucanthemopsis alpina,,198.5,,0.04,,0.37,400; 883; 884
Boreal rain forest,Dicotyledons,Apiales,Apiaceae,Ligusticum mutellina,,126,,0.24,,,883
Boreal rain forest,Dicotyledons,Lamiales,Scrophulariaceae,Linaria alpina,,288,,0.06,,,400; 883
Boreal rain forest,Dicotyledons,Asterales,Asteraceae,Loricaria ilinissae,,49,,1,,,883
Boreal rain forest,Dicotyledons,Fabales,Fabaceae,Lupinus kunthii,,119.1,,,,,883
Boreal rain forest,Dicotyledons,Fabales,Fabaceae,Lupinus sp.,,192.3,,,,45,883; 884
Boreal rain forest,Monocotyledons,Poales,Juncaceae,Luzula alpino-pilosa,,147,,,,,883
Boreal rain forest,Monocotyledons,Poales,Juncaceae,Luzula gigantea,,169.5,,,,,883
Boreal rain forest,Monocotyledons,Poales,Juncaceae,Luzula racemosa,,98,,,,,883
Boreal rain forest,Dicotyledons,Caryophyllales,Caryophyllaceae,Lychnis flos-cuculi,,217,,0.53,,0.19,418; 884
Boreal rain forest,Dicotyledons,Caryophyllales,Caryophyllaceae,Lychnis flos-jovis,,215,,,,,883
Boreal rain forest,Dicotyledons,Apiales,Apiaceae,Niphogeton dissecta,,79.4,,,,,883
Boreal rain forest,Dicotyledons,Malvales,Malvaceae,Nototriche phyllanthos,,113.6,,,,,883
Boreal rain forest,Dicotyledons,Apiales,Apiaceae,Oreomyrrhis andicola,,92.1,,0.04,,2.8,883
Boreal rain forest,Dicotyledons,Caryophyllales,Polygonaceae,Oxyria digyna,,246.9,,0.18,,0.72,883; 884
Boreal rain forest,Dicotyledons,Lamiales,Scrophulariaceae,Pedicularis asplenifolia,,165,,,,,883
Boreal rain forest,Dicotyledons,Lamiales,Plantaginaceae,Plantago lanceolata,163.3,,0.27,,1.266,,883; 886
Boreal rain forest,Dicotyledons,Lamiales,Plantaginaceae,Plantago nubigena,,63.3,,,,,883
Boreal rain forest,Dicotyledons,Lamiales,Plantaginaceae,Plantago rigida,,61.4,,,,,883
Boreal rain forest,Monocotyledons,Poales,Poaceae,Poa laxa,,252.7,,,,,883
Boreal rain forest,Dicotyledons,Caryophyllales,Polygonaceae,Polygonum bistorta,236.3,,0.42,,4.81,,418; 884
Boreal rain forest,Dicotyledons,Caryophyllales,Polygonaceae,Polygonum viviparum,,150,,0.14,,,883
Boreal rain forest,Dicotyledons,Rosales,Rosaceae,Potentilla anserina,,191.2,,0.26,,0.9,883; 884
Boreal rain forest,Dicotyledons,Rosales,Rosaceae,Potentilla aurea,,224.2,,0.08,,,400; 883
Boreal rain forest,Dicotyledons,Rosales,Rosaceae,Potentilla crantzii,,160,,0.25,,0.546,883; 884
