TaxonName,SpeciesName_alt,Division,Class,Family,Genus,species,subspecies,Sp.code,NaturalisationPeriod,ShadeTolerance,RaunkierLifeMode,lifeform,EslerLifeMode,WeedBiostatus,MeanPlantHeight,LeafLongevity,LeafForm,MeanMaximumLeafLength,LeafWidth,MinimumJulvenilePeriod,SpinesBurrs,Poisonous,AnimalPalatability,NitrogenFixer,Distribution,SexualReproductiveSystem,FlowerPeriodLength,MeanLongFruitLength,MeanShortFruitLength,FruitingPeriodLength,SeedProductionViability,SeedPerPlant,SeedLength,SeedWidth,MeanSeedMass
Linaria purpurea (L.) Mill.,Linaria purpurea (L.) Mill.,Spermatophyta,Dicotyledonae,Ericaceae,Linaria,purpurea,NA,LINPUR,1900 - 1940,Low,Hemicryptophyte,Hemicryptophyte,"Herbaceous perennials, Erect dicots",Present in NZ (wild - naturalised exotic),0.6,Evergreen,Broad leaved,55,4,,No,No,No data available,No,Widespread,Hermaphrodite,12,4,3,,No viability data,"1,000 - 10,000",1.15,,0
Schoenoplectus pungens (Vahl) Palla,Schoenoplectus pungens (Vahl) Palla,Spermatophyta,Dicotyledonae,Cyperaceae,Schoenoplectus,pungens,NA,SCHPUN,Not applicable,Low,Hemicryptophyte,Hemicryptophyte,"Herbaceous perennials, Junciform perennials","Present in NZ (wild - non endemic NZ native, extant)",0.6,Deciduous,Grass leaved - Flat,,,,No,No,No data available,No,Scattered,Hermaphrodite,3,,,5,No viability data,"100 - 1,000",,,
Juncus kraussii Hochst.,Juncus kraussii Hochst.,Spermatophyta,Monocotyledonae,Juncaceae,Juncus,kraussii,NA,JUNKRA,,Low,Hemicryptophyte,Hemicryptophyte,"Herbaceous perennials, Junciform perennials",Present in NZ (wild - naturalised exotic),0.65,Evergreen,Photosynthetic stems,,3,,No,No,No,No,Widespread,Hermaphrodite,4,3,,3,No viability data,"1,000 - 10,000",,,
Poa cita Edgar,Poa cita Edgar,Spermatophyta,Monocotyledonae,Poaceae,Poa,cita,NA,POACIT,Not applicable,,Hemicryptophyte,Hemicryptophyte,"Herbaceous perennials, Graminiform-tufted grass","Present in NZ (wild - endemic NZ native, extant)",0.65,,Grass leaved - Folded,400,2,,,,,,Widespread,Hermaphrodite,,,,,Seed produced,,1,0.5,0
Rumex obtusifolius L.,Rumex obtusifolius L.,Spermatophyta,Dicotyledonae,Polygonaceae,Rumex,obtusifolius,NA,RUMOBT,1840 - 1870,Low,Hemicryptophyte,Hemicryptophyte,"Herbaceous perennials, Rosette dicots",Present in NZ (wild - naturalised exotic),0.65,Evergreen,Broad leaved,350,150,1,No,No,Yes,No,Widespread,Hermaphrodite,10,3,,10,High viability,"100 - 1,000",2.5,,2
Rytidosperma unarede (Raoul) Connor & Edgar,Rytidosperma unarede (Raoul) Connor & Edgar,Spermatophyta,Monocotyledonae,Poaceae,Rytidosperma,unarede,NA,RYTUNA,Not applicable,,Hemicryptophyte,Hemicryptophyte,"Herbaceous perennials, Graminiform-turf grass","Present in NZ (wild - endemic NZ native, extant)",0.65,,Grass leaved,400,3,,,,,,Widespread,,,,,,Seed produced,,1.7,0.9,0
Malva sylvestris L.,Malva sylvestris L.,Spermatophyta,Dicotyledonae,Malvaceae,Malva,sylvestris,NA,MALSYL,1840 - 1870,Low,Hemicryptophyte,Hemicryptophyte,"Herbaceous perennials, Erect dicots",Present in NZ (wild - naturalised exotic),0.68,Evergreen,Broad leaved,,,,No,No,,No,Widespread,Hermaphrodite,6,,,,No viability data,"100 - 1,000",,,4
Carex geminata Schkuhr,Carex geminata Schkuhr,Spermatophyta,Monocotyledonae,Cyperaceae,Carex,geminata,NA,CARGEM,Not applicable,Moderate,Hemicryptophyte,Hemicryptophyte,"Herbaceous perennials, Graminiform-grasslike sedge","Present in NZ (wild - endemic NZ native, extant)",0.7,Evergreen,Grass leaved - Flat,,11,,No,No,No,Not applicable,Widespread,Monoecious,,,,,No viability data,"100 - 1,000",2,,
Holcus lanatus L.,Holcus lanatus L.,Spermatophyta,Monocotyledonae,Poaceae,Holcus,lanatus,NA,HOLLAN,,Low,Hemicryptophyte,Hemicryptophyte,<null>,Present in NZ (wild - naturalised exotic),0.7,Deciduous,Grass leaved - Flat,100,6,,No,No,Yes,No,Widespread,Monoecious,,,,,Medium viability,"100 - 1,000",1.5,0.5,0
Carex coriacea Hamlin,Carex coriacea Hamlin,Spermatophyta,Dicotyledonae,Cyperaceae,Carex,coriacea,NA,CARCOR,Not applicable,Low,Hemicryptophyte,Hemicryptophyte,"Herbaceous perennials, Graminiform-grasslike sedge","Present in NZ (wild - endemic NZ native, extant)",0.75,Evergreen,Grass leaved - Flat,,7,,No,No,No,Not applicable,Widespread,Monoecious,,3,2,,No viability data,"100 - 1,000",1.5,,0
Dactylis glomerata L.,Dactylis glomerata L.,Spermatophyta,Monocotyledonae,Poaceae,Dactylis,glomerata,NA,DACGLO,1840 - 1870,,,Hemicryptophyte,"Herbaceous perennials, Graminiform-tufted grass",Present in NZ (wild - naturalised exotic),0.75,,Grass leaved - Flat,350,5,,,,,,,Hermaphrodite,4,,,4.5,Seed produced,,1,0.5,0
Dichelachne crinita (L.f.) Hook.f.,Dichelachne crinita (L.f.) Hook.f.,Spermatophyta,Monocotyledonae,Poaceae,Dichelachne,crinita,NA,DICCRI,Not applicable,,Hemicryptophyte,Hemicryptophyte,"Herbaceous perennials, Graminiform-tufted grass","Present in NZ (wild - non endemic NZ native, extant)",0.75,,Grass leaved - Flat,400,3,,,,,,Widespread,,2,,,2,Seed produced,,2.2,0.3,0
Bromus willdenowii Kunth,Bromus willdenowii Kunth,Spermatophyta,Monocotyledonae,Poaceae,Bromus,willdenowii,NA,BROWIL,1840 - 1870,,,Hemicryptophyte,"Herbaceous perennials, Graminiform-tufted grass",Present in NZ (wild - naturalised exotic),0.8,,Grass leaved - Flat,275,12,,,,,,Widespread,,,,,,Seed produced,,7.2,1.9,
Elytrigia repens (L.) Nevski,Elytrigia repens (L.) Nevski,Spermatophyta,Monocotyledonae,Poaceae,Elytrigia,repens,NA,ELYREP,Pre-1840,,Hemicryptophyte,Hemicryptophyte,"Herbaceous perennials, Graminiform-tufted grass",Present in NZ (wild - naturalised exotic),0.8,,Grass leaved - Flat,270,7,,,,,,Locally common,,,,,,Seed produced,"1,000 - 10,000",4,,2
Microlaena stipoides (Labill.) R.Br.,Microlaena stipoides (Labill.) R.Br.,Spermatophyta,Monocotyledonae,Poaceae,Microlaena,stipoides,NA,MICSTI,Not applicable,,Hemicryptophyte,Hemicryptophyte,"Herbaceous perennials, Graminiform-tufted grass","Present in NZ (wild - non endemic NZ native, extant)",0.85,,Grass leaved - Flat,150,3,,,,,,Widespread,,,,,,,,4.5,4.5,
Agrostis gigantea Roth,Agrostis gigantea Roth,Spermatophyta,Monocotyledonae,Poaceae,Agrostis,gigantea,NA,AGRGIG,1900 - 1940,Low,Hemicryptophyte,Hemicryptophyte,"Herbaceous perennials, Graminiform-tufted grass",Present in NZ (wild - naturalised exotic),0.9,,Grass leaved - Flat,105,5,,,,,,Locally common,,,,,,Seed produced,,1,0.5,0
Juncus australis Hook.f.,Juncus australis Hook.f.,Spermatophyta,Monocotyledonae,Juncaceae,Juncus,australis,NA,JUNAUS,Not applicable,Low,Hemicryptophyte,Hemicryptophyte,"Herbaceous perennials, Junciform perennials","Present in NZ (wild - non endemic NZ native, extant)",0.9,Evergreen,Photosynthetic stems,,4,,No,No,No data available,No,Scattered,Hermaphrodite,4,3,,3,Medium viability,"1,000 - 10,000",,,
Juncus effusus L.,Juncus effusus L.,Spermatophyta,Monocotyledonae,Juncaceae,Juncus,effusus,NA,JUNEFF,1840 - 1870,Moderate,Hemicryptophyte,Hemicryptophyte,"Herbaceous perennials, Junciform perennials",Present in NZ (wild - naturalised exotic),0.9,Evergreen,Photosynthetic stems,750,3,1,No,No,No data available,No,Widespread,Hermaphrodite,4,2,,3,High viability,"> 10,000",0.5,,0
Rumex crispus L.,Rumex crispus L.,Spermatophyta,Dicotyledonae,Polygonaceae,Rumex,crispus,NA,RUMCRI,1840 - 1870,Moderate,Hemicryptophyte,Hemicryptophyte,"Herbaceous perennials, Rosette dicots",Present in NZ (wild - naturalised exotic),0.9,Evergreen,Broad leaved,300,40,,No,No,,No,Widespread,Hermaphrodite,6,2,,6,No viability data,"100 - 1,000",2.3,,1
Carex secta Boott,Carex secta Boott,Spermatophyta,Monocotyledonae,Cyperaceae,Carex,secta,NA,CARSEC,Not applicable,Moderate,Hemicryptophyte,Hemicryptophyte,"Herbaceous perennials, Graminiform-grasslike sedge","Present in NZ (wild - endemic NZ native, extant)",1,Evergreen,Grass leaved - Flat,,5,,No,No,Yes,Not applicable,Widespread,Hermaphrodite,,,,,Medium viability,"100 - 1,000",2,,
Chionochloa conspicua (G.Forst.) Zotov,Chionochloa conspicua (G.Forst.) Zotov,Spermatophyta,Monocotyledonae,Poaceae,Chionochloa,conspicua,NA,CHICON,Not applicable,,Hemicryptophyte,Hemicryptophyte,"Herbaceous perennials, Graminiform-tall (>2m) erect","Present in NZ (wild - endemic NZ native, extant)",1,Deciduous,Grass leaved - Folded,750,7,,,,,,Widespread,,4,,,2,Seed produced,,3,,0
Cirsium vulgare (Savi) Ten.,Cirsium vulgare (Savi) Ten.,Spermatophyta,Dicotyledonae,Asteraceae,Cirsium,vulgare,NA,CIRVUL,1840 - 1870,Low,Hemicryptophyte,Hemicryptophyte,"Annuals, Form - erect, Phenology - long-flowering/ow",Present in NZ (wild - naturalised exotic),1,Deciduous,Broad leaved,200,70,,Yes,No,No,No,Widespread,Hermaphrodite,5,4,2,6,No viability data,"1,000 - 10,000",3.5,,2
Arrhenatherum elatius (L.) J.Presl & C.Presl,Arrhenatherum elatius (L.) J.Presl & C.Presl,Spermatophyta,Monocotyledonae,Poaceae,Arrhenatherum,elatius,NA,ARRELA,1870 - 1900,,Hemicryptophyte,Hemicryptophyte,"Herbaceous perennials, Graminiform-tufted grass",Present in NZ (wild - naturalised exotic),1.1,,Grass leaved - Flat,220,7,,,,,,Locally common,,,,,,Seed produced,,3.2,1,2
Epilobium ciliatum Raf.,Epilobium ciliatum Raf.,Spermatophyta,Dicotyledonae,Onagraceae,Epilobium,ciliatum,NA,EPICIL,1900 - 1940,Low,Hemicryptophyte,Hemicryptophyte,"Annuals, Form - erect, Phenology - all seasons/ow",Present in NZ (wild - naturalised exotic),1.1,Evergreen,Broad leaved,57,19,0.12,No,No,,No,Widespread,Hermaphrodite,5,65,,4,No viability data,"100 - 1,000",1.3,0.4,0
Verbascum thapsus L.,Verbascum thapsus L.,Spermatophyta,Dicotyledonae,Ericaceae,Verbascum,thapsus,NA,VERTHA,1840 - 1870,Low,Hemicryptophyte,Hemicryptophyte,Herbaceous perennials,Present in NZ (wild - naturalised exotic),1.15,Evergreen,Broad leaved,135,68,1,No,No,Yes,No,Widespread,Hermaphrodite,10,9,,,High viability,"> 10,000",0.8,,0
Bromus sitchensis Trin.,Bromus sitchensis Trin.,Spermatophyta,Monocotyledonae,Poaceae,Bromus,sitchensis,NA,BROSIT,1940 - 1970,,,Hemicryptophyte,"Herbaceous perennials, Graminiform-tufted grass",Present in NZ (wild - naturalised exotic),1.2,,Grass leaved - Flat,220,8,,,,,,,,,,,,Seed produced,,7,1.5,
Bromus stamineus E.Desv.,Bromus stamineus E.Desv.,Spermatophyta,Monocotyledonae,Poaceae,Bromus,stamineus,NA,BROSTA,1940 - 1970,,,Hemicryptophyte,"Herbaceous perennials, Graminiform-tufted grass",Present in NZ (wild - naturalised exotic),1.3,,Grass leaved - Flat,280,8,,,,,,Locally common,,,,,,Seed produced,,9.5,2,
Juncus sarophorus L.A.S.Johnson,Juncus sarophorus L.A.S.Johnson,Spermatophyta,Monocotyledonae,Juncaceae,Juncus,sarophorus,NA,JUNSAR,Not applicable,Low,Hemicryptophyte,Hemicryptophyte,"Herbaceous perennials, Junciform perennials","Present in NZ (wild - non endemic NZ native, extant)",1.4,Evergreen,Photosynthetic stems,,3,,No,No,No data available,No,Widespread,Hermaphrodite,4,2,,3,No viability data,"1,000 - 10,000",,,
Cortaderia richardii (Endl.) Zotov,Cortaderia richardii (Endl.) Zotov,Spermatophyta,Monocotyledonae,Poaceae,Cortaderia,richardii,NA,CORRIC,Not applicable,Low,Hemicryptophyte,Hemicryptophyte,"Herbaceous perennials, Graminiform-tall (>2m) erect","Present in NZ (wild - endemic NZ native, extant)",1.5,Evergreen,Grass leaved - Flat,2000,25,,No,No,Yes,No,Locally common,Monoecious,,,,,No viability data,"> 10,000",4,4,0
Pastinaca sativa L.,Pastinaca sativa L.,Spermatophyta,Dicotyledonae,Apiaceae,Pastinaca,sativa,NA,PASSAT,1840 - 1870,Low,Hemicryptophyte,Hemicryptophyte,<null>,Present in NZ (wild - naturalised exotic),1.5,Deciduous,Broad leaved,150,100,1,No,Yes,Yes,No,Widespread,Hermaphrodite,,5,,,Seed produced,"1,000 - 10,000",4,,3
Conium maculatum L.,Conium maculatum L.,Spermatophyta,Dicotyledonae,Apiaceae,Conium,maculatum,NA,CONMAC,1870 - 1900,Low,Hemicryptophyte,Hemicryptophyte,"Annuals, Form - erect, Phenology - long-flowering/ow",Present in NZ (wild - naturalised exotic),2,Deciduous,Broad leaved,23,,,No,Yes,No data available,,Widespread,Hermaphrodite,5,3,,,No viability data,,,,1
Aciphylla subflabellata W.R.B.Oliv.,Aciphylla subflabellata W.R.B.Oliv.,Spermatophyta,Dicotyledonae,Apiaceae,Aciphylla,subflabellata,NA,ACISUB,Not applicable,,Hemicryptophyte,Hemicryptophyte,"Herbaceous perennials, Rosette dicots","Present in NZ (wild - endemic NZ native, extant)",,,Broad leaved,,,,,,,,,Dioecious,4,6,,,Seed produced,,6,,3
Agrostis capillaris L.,Agrostis capillaris L.,Spermatophyta,Monocotyledonae,Poaceae,Agrostis,capillaris,NA,AGRCAP,1840 - 1870,,,Hemicryptophyte,"Herbaceous perennials, Graminiform-tall (>2m) erect",Present in NZ (wild - naturalised exotic),,,Grass leaved - Flat,80,2,,,,,,Widespread,,,,,,Seed produced,,1,0.4,0
Anisotome aromatica Hook.f.,Anisotome aromatica Hook.f.,Spermatophyta,Dicotyledonae,Apiaceae,Anisotome,aromatica,NA,ANIARO,Not applicable,Low,Hemicryptophyte,Hemicryptophyte,"Herbaceous perennials, Rosette dicots","Present in NZ (wild - endemic NZ native, extant)",,Evergreen,Broad leaved,100,,,No,No,Yes,No,Widespread,Hermaphrodite,5,3,,6,No viability data,"100 - 1,000",4,,0
Asplenium bulbiferum G.Forst.,Asplenium bulbiferum G.Forst.,Pteridophyta,Pteridopsida,Aspleniaceae,Asplenium,bulbiferum,NA,ASPBUL,Not applicable,High,Hemicryptophyte,Hemicryptophyte,Ferns,"Present in NZ (wild - non endemic NZ native, extant)",,Evergreen,Broad leaved,860,275,,No,No,,,Widespread,Not applicable,,,,,Seed produced,"> 10,000",,,
Asplenium oblongifolium Colenso,Asplenium oblongifolium Colenso,Pteridophyta,Pteridopsida,Aspleniaceae,Asplenium,oblongifolium,NA,ASPOBL,Not applicable,,Hemicryptophyte,Hemicryptophyte,Ferns,"Present in NZ (wild - endemic NZ native, extant)",,,Broad leaved,825,260,,No,,,,,Not applicable,,,,,Seed produced,,,,
Bromus catharticus Vahl,Bromus catharticus Vahl,Spermatophyta,Monocotyledonae,Poaceae,Bromus,catharticus,NA,BROCAT,1940 - 1970,,,Hemicryptophyte,"Herbaceous perennials, Graminiform-tufted grass",Present in NZ (wild - naturalised exotic),,,Grass leaved - Flat,160,3,,,,,,,,,,,,Seed produced,,7,1.5,
Carex colensoi Boott,Carex colensoi Boott,Spermatophyta,Dicotyledonae,Cyperaceae,Carex,colensoi,NA,CARCOL,Not applicable,,Hemicryptophyte,Hemicryptophyte,"Herbaceous perennials, Graminiform-tufted grass","Present in NZ (wild - endemic NZ native, extant)",,,Grass leaved,,,,,,,,Widespread,,,,,,,,,,0
Carex forsteri Wahlenb.,Carex forsteri Wahlenb.,Spermatophyta,Monocotyledonae,Cyperaceae,Carex,forsteri,NA,CARFOR,Not applicable,,Hemicryptophyte,Hemicryptophyte,Herbaceous perennials,"Present in NZ (wild - endemic NZ native, extant)",,,Grass leaved - Folded,,8,,,,,,Scattered,,,2,,,,,,,0
Carex resectans Cheeseman,Carex resectans Cheeseman,Spermatophyta,Monocotyledonae,Cyperaceae,Carex,resectans,NA,CARRES,Not applicable,Low,Hemicryptophyte,Hemicryptophyte,"Herbaceous perennials, Graminiform-grasslike sedge","Present in NZ (wild - endemic NZ native, extant)",,Evergreen,Grass leaved - Flat,80,5,,No,No data available,No data available,Not applicable,Scattered,Hermaphrodite,,,,,No viability data,10 - 100,2,,
Carex wakatipu Petrie,Carex wakatipu Petrie,Spermatophyta,Monocotyledonae,Cyperaceae,Carex,wakatipu,NA,CARWAK,Not applicable,,Hemicryptophyte,Hemicryptophyte,<null>,"Present in NZ (wild - endemic NZ native, extant)",,,Grass leaved,,3,,,,,,,,,,,,Seed produced,,1.5,,1
Celmisia gracilenta Hook.f.,Celmisia gracilenta Hook.f.,Spermatophyta,Dicotyledonae,Asteraceae,Celmisia,gracilenta,NA,CELGRA,Not applicable,Low,Hemicryptophyte,Hemicryptophyte,"Herbaceous perennials, Rosette dicots","Present in NZ (wild - endemic NZ native, extant)",,Evergreen,Grass leaved,125,3,,No,No,,No,Widespread,Hermaphrodite,,5,,,No viability data,10 - 100,6.4,,0
Centella uniflora (Colenso) Nannf.,Centella uniflora (Colenso) Nannf.,Spermatophyta,Dicotyledonae,Apiaceae,Centella,uniflora,NA,CENUNI,Not applicable,Moderate,Hemicryptophyte,Hemicryptophyte,"Herbaceous perennials, Rosette dicots","Present in NZ (wild - non endemic NZ native, extant)",,Evergreen,Broad leaved,,13,,No,No,Yes,No,Widespread,Hermaphrodite,6,3,,6,No viability data,10 - 100,,,
Chionochloa rigida (Raoul) Zotov,Chionochloa rigida (Raoul) Zotov,Spermatophyta,Monocotyledonae,Poaceae,Chionochloa,rigida,NA,CHIRIG,Not applicable,,Hemicryptophyte,Hemicryptophyte,"Herbaceous perennials, Graminiform-tufted grass","Present in NZ (wild - endemic NZ native, extant)",,Deciduous,Grass leaved - Flat,800,7,,,,,,Widespread,,,,,,Seed produced,,3.5,,1
Cortaderia selloana (Schult. & Schult.f.) Asch. & Graebn.,Cortaderia selloana (Schult. & Schult.f.) Asch. & Graebn.,Spermatophyta,Monocotyledonae,Poaceae,Cortaderia,selloana,NA,CORSEL,1900 - 1940,,Hemicryptophyte,Hemicryptophyte,"Herbaceous perennials, Graminiform-tufted grass",Present in NZ (wild - naturalised exotic),,,Grass leaved - Flat,2000,20,,,,,,Widespread,,,,,,No viability data,"> 10,000",2.5,,0
Craspedia minor (Hook.f.) Allan,Craspedia minor (Hook.f.) Allan,Spermatophyta,Dicotyledonae,Asteraceae,Craspedia,minor,NA,CRAMIN,Not applicable,Moderate,Hemicryptophyte,Hemicryptophyte,"Herbaceous perennials, Rosette dicots","Present in NZ (wild - endemic NZ native, extant)",,Evergreen,Broad leaved,50,,,No,No,,No,Locally common,Hermaphrodite,,,,,No viability data,10 - 100,,,
Dichondra brevifolia Buchanan,Dichondra brevifolia Buchanan,Spermatophyta,Dicotyledonae,Convolvulaceae,Dichondra,brevifolia,NA,DICBRE,Not applicable,Low,Hemicryptophyte,Hemicryptophyte,"Herbaceous perennials, Mat-forming dicots","Present in NZ (wild - endemic NZ native, extant)",,Evergreen,Broad leaved,26,6,,No,No,,No,Scattered,Hermaphrodite,3,,,3,No viability data,10 - 100,,,
Einadia triandra (G.Forst.) A.J.Scott,Einadia triandra (G.Forst.) A.J.Scott,Spermatophyta,Dicotyledonae,Amaranthaceae,Einadia,triandra,NA,EINTRI,Not applicable,Low,Hemicryptophyte,Hemicryptophyte,"Herbaceous perennials, Mat-forming dicots","Present in NZ (wild - endemic NZ native, extant)",,,Broad leaved,13,10,,No,No,No data available,No,Widespread,,,,,,Seed produced,,1.5,,
Elymus rectisetus (Nees) Á.Löve & Connor,Elymus rectisetus (Nees) Á.Löve & Connor,Spermatophyta,Monocotyledonae,Poaceae,Elymus,rectisetus,NA,ELYREC,Pre-1840,,Hemicryptophyte,Hemicryptophyte,<null>,Present in NZ (wild - naturalised exotic),,,Grass leaved - Flat,180,3,,,,,,Widespread,,,,,,Seed produced,,6.25,,7
Epilobium komarovianum H.Lév.,Epilobium komarovianum H.Lév.,Spermatophyta,Dicotyledonae,Onagraceae,Epilobium,komarovianum,NA,EPIKOM,Not applicable,,Hemicryptophyte,Hemicryptophyte,"Herbaceous perennials, Mat-forming dicots","Present in NZ (wild - endemic NZ native, extant)",,No data available,Broad leaved,,4,,No,No data available,No data available,,Widespread,Hermaphrodite,,30,,,No viability data,10 - 100,,,
Galium perpusillum (Hook.f.) Allan,Galium perpusillum (Hook.f.) Allan,Spermatophyta,Dicotyledonae,Rubiaceae,Galium,perpusillum,NA,GALPER,Not applicable,Moderate,Hemicryptophyte,Hemicryptophyte,"Herbaceous perennials, Mat-forming dicots","Present in NZ (wild - endemic NZ native, extant)",,Evergreen,Broad leaved,3,2,,No,No,,No,Scattered,Hermaphrodite,4,2,,4,No viability data,10 - 100,2,,
Geranium solanderi Carolin,Geranium solanderi Carolin,Spermatophyta,Dicotyledonae,Geraniaceae,Geranium,solanderi,NA,GERSOL,Not applicable,No data available,Hemicryptophyte,Hemicryptophyte,"Herbaceous perennials, Mat-forming dicots","Present in NZ (wild - non endemic NZ native, extant)",,Evergreen,Broad leaved,300,70,,No,No,No data available,No,Scattered,,8,15,,,No viability data,,2,1.6,0
Hieracium pilosella L.,Hieracium pilosella L.,Spermatophyta,Dicotyledonae,Asteraceae,Hieracium,pilosella,NA,HIEPIL,1870 - 1900,,Hemicryptophyte,Hemicryptophyte,"Herbaceous perennials, Rosette dicots",Present in NZ (wild - naturalised exotic),,,Broad leaved,38,10,,No,No,Yes,No,Widespread,,5,,,5,Seed produced,,2,0.5,0
Hierochloe redolens (Vahl) Roem. & Schult.,Hierochloe redolens (Vahl) Roem. & Schult.,Spermatophyta,Monocotyledonae,Poaceae,Hierochloe,redolens,NA,HIERED,Not applicable,,Hemicryptophyte,Hemicryptophyte,"Herbaceous perennials, Graminiform-tufted grass","Present in NZ (wild - non endemic NZ native, extant)",,,Grass leaved,700,10,,,,,,Widespread,,,,,,Seed produced,,2,,0
Histiopteris incisa (Thunb.) J.Sm.,Histiopteris incisa (Thunb.) J.Sm.,Pteridophyta,Pteridopsida,Dennstaedtiaceae,Histiopteris,incisa,NA,HISINC,Not applicable,Moderate,Hemicryptophyte,Hemicryptophyte,Ferns,"Present in NZ (wild - non endemic NZ native, extant)",,,Broad leaved,1100,450,,No,No,,,Widespread,Not applicable,,,,,Seed produced,"> 10,000",,,
Isolepis cernua (Vahl) Roem. & Schult.,Isolepis cernua (Vahl) Roem. & Schult.,Spermatophyta,Monocotyledonae,Cyperaceae,Isolepis,cernua,NA,ISOCER,Not applicable,Moderate,Hemicryptophyte,Hemicryptophyte,"Herbaceous perennials, Junciform perennials","Present in NZ (wild - non endemic NZ native, extant)",,Evergreen,Grass leaved - Rolled,,5,,No,No,,No,Widespread,Hermaphrodite,,,,,Medium viability,10 - 100,1,0.5,
Lagenifera pumila (G.Forst.) Cheeseman,Lagenifera pumila (G.Forst.) Cheeseman,Spermatophyta,Dicotyledonae,Asteraceae,Lagenifera,pumila,NA,LAGPUM,Not applicable,,Hemicryptophyte,Hemicryptophyte,"Herbaceous perennials, Erect dicots","Present in NZ (wild - endemic NZ native, extant)",,,Broad leaved,13,9,,,,,,Widespread,,6,2,,6,Seed produced,,1.75,0.5,0
Lepidium hyssopifolium Desv.,Lepidium hyssopifolium Desv.,Spermatophyta,Dicotyledonae,Brassicaceae,Lepidium,hyssopifolium,NA,LEPHYS,1970 - 1990,,,Hemicryptophyte,"Herbaceous perennials, Erect dicots",Present in NZ (wild - naturalised exotic),,,Broad leaved,10,1,,,,,,,,3,3,2,3,Seed produced,,1.4,,
Leptinella dioica Hook.f.,Leptinella dioica Hook.f.,Spermatophyta,Dicotyledonae,Asteraceae,Leptinella,dioica,NA,LEPDIO,Not applicable,Moderate,Hemicryptophyte,Hemicryptophyte,"Herbaceous perennials, Mat-forming dicots","Present in NZ (wild - endemic NZ native, extant)",,Evergreen,Broad leaved,35,7,,No,No,,No,Scattered,Hermaphrodite,,2,,,No viability data,"100 - 1,000",,,
Leptinella squalida Hook.f.,Leptinella squalida Hook.f.,Spermatophyta,Dicotyledonae,Asteraceae,Leptinella,squalida,NA,LEPSQA,Not applicable,Moderate,Hemicryptophyte,Hemicryptophyte,"Herbaceous perennials, Mat-forming dicots","Present in NZ (wild - endemic NZ native, extant)",,Evergreen,Broad leaved,50,10,,No,No,,No,Widespread,Hermaphrodite,,,,,No viability data,"100 - 1,000",,,
Leptopteris hymenophylloides (A.Rich.) C.Presl,Leptopteris hymenophylloides (A.Rich.) C.Presl,Pteridophyta,Pteridopsida,Osmundaceae,Leptopteris,hymenophylloides,NA,LEPHYM,Not applicable,,Hemicryptophyte,Hemicryptophyte,Ferns,"Present in NZ (wild - endemic NZ native, extant)",,,Broad leaved,930,250,,,,,,Widespread,Not applicable,,,,,Seed produced,"> 10,000",,,
Libertia ixioides (G.Forst.) Spreng.,Libertia ixioides (G.Forst.) Spreng.,Spermatophyta,Monocotyledonae,Iridaceae,Libertia,ixioides,NA,LIBIXI,Not applicable,,Hemicryptophyte,Hemicryptophyte,<null>,"Present in NZ (wild - endemic NZ native, extant)",,,Grass leaved - Flat,500,10,,No,,,,Widespread,,3,15,,12,Seed produced,,2,1.5,1
Lilaeopsis novae-zelandiae (Gand.) A.W.Hill,Lilaeopsis novae-zelandiae (Gand.) A.W.Hill,Spermatophyta,Dicotyledonae,Apiaceae,Lilaeopsis,novae-zelandiae,NA,LILAEO,Not applicable,Low,Hemicryptophyte,Hemicryptophyte,"Herbaceous perennials, Rosette dicots","Present in NZ (wild - endemic NZ native, extant)",,Evergreen,Grass leaved - Rolled,10,,,No,No,,No,Widespread,Hermaphrodite,,2,,,No viability data,10 - 100,,,
Lycopodium fastigiatum R.Br.,Lycopodium fastigiatum R.Br.,Pteridophyta,Lycopodiopsida,Lycopodiaceae,Lycopodium,fastigiatum,NA,LYCFAS,Not applicable,Low,Hemicryptophyte,Hemicryptophyte,Ferns,"Present in NZ (wild - non endemic NZ native, extant)",,,Scale-like,4,,,No,No,,,Widespread,Not applicable,,,,,No viability data,"> 10,000",,,
Mentha cunninghamii Benth.,Mentha cunninghamii Benth.,Spermatophyta,Dicotyledonae,Lamiaceae,Mentha,cunninghamii,NA,MENCUN,Not applicable,Moderate,Hemicryptophyte,Hemicryptophyte,"Herbaceous perennials, Mat-forming dicots","Present in NZ (wild - endemic NZ native, extant)",,Evergreen,Broad leaved,10,10,,No,No,No data available,No,Widespread,Hermaphrodite,6,1,,6,No viability data,"100 - 1,000",,,
Microlaena polynoda (Hook.f.) Hook.f.,Microlaena polynoda (Hook.f.) Hook.f.,Spermatophyta,Monocotyledonae,Poaceae,Microlaena,polynoda,NA,MICPOL,Not applicable,,Hemicryptophyte,Hemicryptophyte,"Herbaceous perennials, Graminiform-tufted grass","Present in NZ (wild - endemic NZ native, extant)",,,Grass leaved - Flat,200,3,,No,No,,,Widespread,,,,,,,,4.5,4.5,
Mimulus repens R.Br.,Mimulus repens R.Br.,Spermatophyta,Dicotyledonae,Ericaceae,Mimulus,repens,NA,MIMREP,Not applicable,Low,Hemicryptophyte,Hemicryptophyte,"Herbaceous perennials, Erect dicots","Present in NZ (wild - endemic NZ native, extant)",,,Broad leaved,5,3,,No,No,No data available,No,Scattered,Hermaphrodite,4,6,,4,No viability data,"100 - 1,000",,,
