 	Label	Area
1	P1120648.jpg	59.078
2	P1120648.jpg	41.602
3	P1120648.jpg	117.352
4	P1120648.jpg	85.379
5	P1120648.jpg	93.912
6	P1120648.jpg	142.658
7	P1120648.jpg	61.721
8	P1120648.jpg	123.551
9	P1120648.jpg	58.124
10	P1120648.jpg	56.560
11	P1120648.jpg	47.742
12	P1120648.jpg	76.160
13	P1120648.jpg	56.819
14	P1120648.jpg	49.240
15	P1120648.jpg	51.247
16	P1120648.jpg	42.706
17	P1120648.jpg	42.330
18	P1120648.jpg	56.300
19	P1120648.jpg	90.649
20	P1120648.jpg	116.122
21	P1120648.jpg	34.717
22	P1120648.jpg	76.227
23	P1120648.jpg	58.358
24	P1120648.jpg	62.273
25	P1120648.jpg	36.156
26	P1120648.jpg	66.314
27	P1120648.jpg	51.582
28	P1120648.jpg	45.442
29	P1120648.jpg	38.448
30	P1120648.jpg	33.839
31	P1120648.jpg	56.953
32	P1120648.jpg	53.966
