"","nobs","df","resid.dev","dev.ratio","abun.meanc","abun.minP","nobs","df","resid.dev","null.dev","dev.ratio","aic.null","aic.DEM_10","aic.SLOPE","aic.Northern","aic.SRali","aic.abun","dev.DEM_10","dev.SLOPE","dev.Northern","dev.SRali","dev.abun","DEM10.c","DEM10.P","SLOPE.c","SLOPE.P","Northness.c","Northness.P","SRali.c","SRali.P","abun.meanc"
"JUNDIS",130,124,320.994017625686,0.0465066867383794,-0.0598668863834721,0.0049397838058734,130,120,188.647192709366,336.650517797193,0.439634924836172,826.769914614482,757.123914479609,704.927668301971,706.375957877576,691.440425855185,696.766589526655,71.6460001348731,54.1962461776384,0.551710424394997,16.935532022391,4.67383632852989,0.00153287758078731,3.13572258280668e-17,0.0241717477525216,3.09874257434028e-08,-0.0410178115582072,0.441486785790566,0.0287868660737437,0.000377539302735083,0.972751774899895
"LEOTAR",50,45,148.292694867928,0.123535569861381,-4.47450443739538,0.0051672060773555,50,41,130.477136847107,169.194196328623,0.228832077705055,297.406660763683,293.798357143646,292.989966166867,282.836408663228,280.674773989341,274.689601282167,5.60830362003696,2.80839097677836,12.1535575036391,4.16163467388705,13.9851727071743,0.000731643662207668,0.262553767851347,0.00158519013189527,0.878528006578769,-0.391576054079732,0.000457927641651822,0.0446937440397134,0.0331154200257279,0.013208251652131
"LOLPER",521,515,1793.42600864396,0.0884109062902246,-0.426729447660588,2.01104861713098e-21,521,511,1458.22959391528,1967.36229186934,0.258789497012419,3510.74174470017,3435.82967007529,3257.54314006207,3199.82909253047,3119.07998535016,3019.6090467461,76.9120746248768,180.286530013223,59.714047531596,82.7491071803065,109.470938604066,0.000991320607871762,1.78644848293654e-17,0.0169528483516488,1.11636337024628e-15,-0.262029112966781,5.63502324913529e-18,0.0451360581659931,2.77986697297686e-23,0.661185592286107
"MICUNI",74,71,248.642147877914,0.048942670500229,0.310487785824753,0.00186922386240015,74,67,202.201669426656,261.437602303841,0.226577708620283,544.852093787827,516.127737623225,500.905045583243,501.907147785945,502.451131700072,497.616160910642,30.7243561646026,17.2226920399817,0.997897797297639,1.45601608587322,8.83497078942992,0.00112412981345763,4.89817580556733e-06,0.0219284097901936,0.000602799315308107,-0.076728157105174,0.224225206730436,0.01693192688692,0.12749688705114,1.29448809642103
"MUECOM",111,106,288.324106056732,0.00911763887459605,-0.0423680378520854,0.199055679885136,111,102,239.531770139775,290.977130452968,0.1768020745586,723.357417887365,700.832970955563,698.065459604776,694.244249305499,688.555637149242,687.912057574172,24.5244469318021,4.76751135078706,5.82121029927728,7.68861215625677,8.64357957506988,0.00111943011481633,3.60211473507529e-09,0.00712767098196473,0.0385068567354606,-0.135901674570273,0.0105806394061276,0.0192145411614308,0.00657436569099863,1.29630316435137
"OXAEXI",182,177,394.901156960518,0.0320066822224555,-0.168060899051477,0.0416853982840167,182,173,309.292056608515,407.958556849533,0.241854224122595,1091.99947597143,1047.17686973992,1024.65436410188,1011.35972496246,1008.40870026269,1009.33297573041,46.8226062315089,24.5225056380323,15.2946391394224,4.95102469977064,7.07572453228323,0.00100440118284101,1.21235791711785e-08,0.0119424339531593,2.15171250546921e-06,-0.199075650051846,0.000124555571062848,0.0126313821802686,0.0368403276943685,0.950387140240106
"PHLPRA",29,24,56.1374145116727,0.177602283575157,-4.76221192064171,0.0156668835623635,29,20,43.1835754306819,68.2606643847642,0.367372471101813,131.342577854833,132.007361184865,123.340762524324,124.34312631744,124.837735586198,122.265488900751,1.33521666996786,10.6665986605408,0.997636206884692,1.5053907312416,10.5722466854474,0.00113029107543265,0.314997447408905,0.0361632412985615,0.0403505337920512,-0.140383985842425,0.514845521256765,0.0506321656321818,0.306845654837128,0.0127776377952451
"PLALAN",163,159,625.832800205786,0.00196765387239344,-0.0052163776789295,0.412575761835552,163,155,517.008100455162,627.066650328553,0.175513320339594,1002.27232747028,987.236825265104,940.748618183353,904.28588451894,902.644677565234,906.213777596887,17.0355022051742,48.4882070817508,38.4627336644135,3.64120695370559,2.43089996834772,0.00124485580567413,1.7084554251143e-05,0.0268409343553762,2.83881917990632e-07,-0.424754873774608,1.1686723714981e-10,0.0238740461171368,0.0482633515305884,1.15965821318618
"POACIT",244,238,729.146367800794,0.00729056217411826,0.0421890536490939,0.198661303386264,244,234,469.02193034121,734.501295160129,0.361441656492984,1684.95774073815,1489.8702634646,1437.70778386011,1430.17865517214,1431.10117460132,1437.47837591923,197.087477273556,54.1624796044862,9.52912868797165,1.07748057081557,3.62279868209015,0.00142781347121989,2.54011834624659e-34,0.0134372157697908,6.18131317830937e-13,-0.117006491465485,0.000992968439181344,0.00639136748730866,0.212244565213991,0.941261547263942
"POAPRA",238,233,789.689288336889,0.0528549931584699,-4.34673188608638,0.000583418161936146,238,229,641.520980798971,833.757537264846,0.230566499100578,1495.48795361159,1456.41506747648,1401.04610105686,1367.69273344112,1339.30039031827,1319.25139714571,41.0728861351034,57.3689664196213,35.3533676157482,30.3923431228485,28.0489931725537,0.0011381821929301,6.04751637172078e-10,0.0152640788882806,0.000120458811766764,-0.343811104253134,9.30724388972257e-13,0.0432729755076953,7.16454358632854e-09,0.0132215297343711
"POLTET",49,46,88.594771478065,0.0585444989555112,0.0848042104055008,0.0307182321326938,49,42,81.4209250106708,94.1040456822169,0.134777634474677,280.085168687432,279.750341594499,281.750076072281,279.691197706531,279.494438553491,279.402048015886,2.3348270929328,0.000265522218370506,4.05887836574934,2.19675915304087,4.09239053760471,0.000681290840909956,0.227541666612705,0.00321819585457834,0.469478981328115,-0.157656510506154,0.149742634587222,0.017933456765209,0.142185787240413,1.04396094741138
"PTEESC",62,57,266.074040634507,0.125176337407509,-0.667682838867584,9.26544423098978e-05,62,53,148.134598199026,304.145911926995,0.512948909092739,531.337285171179,474.19675940983,449.532128946045,424.307067830652,408.627780637918,391.325971443211,59.1405257613491,26.664630463785,27.2250611153933,17.679287192734,25.3018091947071,0.00285652871831102,9.58483706167967e-15,0.012575298841042,0.00126285033699565,-0.382475300080812,4.08398004306945e-08,0.050261949330901,3.50641663386492e-05,0.77108728422588
"RUMACE",235,230,873.848792012635,0.0242605329565891,-0.291851706260545,0.0054012312648646,235,226,628.814496041868,895.575941660415,0.297865801446125,1728.15272429854,1605.82546731166,1511.53476098525,1472.07279731526,1474.05741052387,1477.39127867999,124.327256986871,96.2907063264182,41.4619636699832,0.0153867913977592,4.66613184387688,0.0012164859276527,1.41192964552004e-17,0.01936306645222,4.09043005760642e-19,-0.244282724366625,2.40210643162957e-10,-0.000542338791626392,0.928941115062461,0.884676055141038
"RYTCAE",39,33,98.5398992998229,0.121093932409638,-0.461921931939039,0.0127172813569223,39,29,68.1656104131662,112.116530916646,0.392011063347614,247.622002944035,236.658053755318,235.873877357203,213.669756226836,215.583267647534,221.671082440555,12.9639491887168,2.7841763981157,24.2041211303663,0.086488579302312,3.91218520697907,0.000578137086288574,0.24885585209587,0.00301448754676493,0.703600445452464,-0.453334435803571,5.86356202501639e-05,-0.00732650731992123,0.606745734269929,0.882531202168846
