"","df.alone","percdev.abun.alone","deltaAIC.alone","df","est.elev","P.elev","percdev.elev","est.slope","P.slope","percdev.slope","est.north","P.north","percdev.north","est.SRali","P.SRali","percdev.SRali","percdev.abun","total.deltaAIC","dev.ratio.actual","deltaAIC.actual","coef.c2","coef.c3","coef.c4","coef.c5","coef.c6","signif.boot.c2","signif.boot.c3","signif.boot.c4","signif.boot.c5","signif.boot.c6","coef.nocovar.c2","coef.nocovar.c3","coef.nocovar.c4","coef.nocovar.c5","coef.nocovar.c6","signif.boot.nocovar.c2","signif.boot.nocovar.c3","signif.boot.nocovar.c4","signif.boot.nocovar.c5","signif.boot.nocovar.c6"
"ELYREC",253,0.0078802703439624,-1.27414729024554,249,0.0016242145040009,1.39088870264211e-34,0.210250398301956,0.0136125936646228,7.82169958047137e-14,0.0805951634529739,-0.135960842019458,0.000247921626023312,0.00840675729730823,0.0199348835877139,0.00012645172965756,0.0177015412831636,0.00551359851365372,-3.2941143025671,0.322467458849055,-3.2941143025671,-0.0633266409964426,0.0546355953912313,-0.0196139359424063,0.12407651359661,NA,FALSE,FALSE,FALSE,FALSE,NA,-0.0996993602231052,0.0307113323010803,0.0926523709307871,-0.094748855063249,NA,FALSE,FALSE,FALSE,FALSE,NA
"GERMOL",127,0.0651062134691656,20.9984375125396,123,-8.713163904988e-05,0.769215857370716,0.000149947611766884,0.0159070766754695,1.7109164760004e-05,0.0613439808795529,-0.165812517113955,0.0101798575680554,0.0237642622353091,0.0313197460500436,0.000335311728506428,0.0433771905182638,0.0300168905834458,5.36958301709603,0.15845900449491,5.36958301709603,0.246158337212696,0.152927928956887,-0.758728324331961,-0.166894901575767,NA,FALSE,FALSE,TRUE,FALSE,NA,0.352516170896862,0.31861461922118,-0.766574649114784,-0.296571019869052,NA,TRUE,FALSE,TRUE,FALSE,NA
"HOLLAN",496,0.0165728770915954,30.8116317285958,492,0.00192904993798941,1.28941012945182e-70,0.144025467391938,0.0177256688609561,1.81326655467501e-31,0.0778193553445729,-0.280614222153555,4.5245542416709e-22,0.0305461610499591,0.0210344540942375,1.32274011579609e-06,0.00940548954133794,0.0175714508491299,33.2706751536507,0.279367924176938,33.2706751536507,-0.160782208420064,-0.207138793473835,-0.304686033052357,-0.473934640964406,-0.528355419204431,FALSE,TRUE,TRUE,TRUE,FALSE,-0.136859182709923,-0.167115433580187,-0.28534357386733,-0.458304251033145,-0.292669613960867,FALSE,FALSE,FALSE,TRUE,FALSE
"HYPGLA",43,0.0294775913975047,-3.7979606337565,39,0.00071904770712998,0.0286398971693557,0.0585394783741318,0.00891336695192283,0.0420568251032889,0.060669318509617,0.00321846632329886,0.974118217634151,0.00370667066614186,0.0260530393321043,0.0556190182224366,0.0665581935581298,0.0358744375140447,-3.32010249472231,0.225334006336061,-3.32010249472228,-0.0237434796030164,-0.130464316029407,-0.709449322841056,NA,NA,FALSE,FALSE,TRUE,NA,NA,0.0461411559515496,-0.0927420519014088,-0.593517339813904,NA,NA,FALSE,FALSE,TRUE,NA,NA
"HYPRAD",537,0.0571047910731961,142.58562440257,533,0.00165514221804558,4.76229833609528e-60,0.164854537613784,0.0213982375656016,1.70562805163229e-45,0.0775529988684402,-0.245057726123359,1.13917524150396e-18,0.0317569168671454,0.0162727109099679,9.63742368414852e-05,0.00515838469793709,0.0230728411933892,52.8431995380975,0.302395679240696,52.8431995380975,-0.0448348963747942,0.200119268400888,0.176168922084286,0.482541945308163,NA,FALSE,TRUE,FALSE,TRUE,NA,0.177375782626452,0.424079768742093,0.423978625826744,0.873809736890251,NA,FALSE,TRUE,TRUE,TRUE,NA
"LEOTAR",45,0.123535569861381,12.9015014606948,41,0.000731643662207669,0.262553767851346,0.0331471394511904,0.00158519013189527,0.878528006578768,0.0165986247620671,-0.391576054079732,0.000457927641651825,0.0718319999583998,0.0446937440397134,0.0331154200257277,0.0245967932954625,0.0826575202379349,5.98517270717429,0.228693868022697,5.98517270717429,-0.545302801670742,0.148551998641518,-0.504427136822102,-16.4134931506512,NA,FALSE,FALSE,FALSE,TRUE,NA,-0.69126571246024,0.125495424066882,-0.591182253903258,-16.7410652072849,NA,FALSE,FALSE,TRUE,TRUE,NA
"LOLPER",515,0.0884109062902247,163.936283225382,511,0.000991320607871763,1.78644848293643e-17,0.0390940067026479,0.0169528483516489,1.11636337024617e-15,0.0916387036380161,-0.26202911296678,5.63502324913546e-18,0.0303523391590763,0.0451360581659931,2.77986697297671e-23,0.0420609399307334,0.0556435075819455,99.4709386040659,0.258789497012419,99.4709386040659,-0.0844189937631405,-0.171546430196048,-0.449811063258886,-0.638666319123942,-0.724160711275867,FALSE,TRUE,TRUE,TRUE,TRUE,0.0122684710065607,-0.151056008627659,-0.375882901330416,-0.747872078770056,-0.871104720581371,FALSE,FALSE,TRUE,TRUE,TRUE
"PHLPRA",24,0.177602283575157,4.12324987309155,20,0.00113029107543265,0.314997447408906,0.0195605577824684,0.0361632412985616,0.0403505337920509,0.156262743069954,-0.140383985842424,0.514845521256767,0.0146150966427945,0.0506321656321817,0.306845654837128,0.0220535610781078,0.154880512528488,2.57224668544738,0.329404449327107,2.57224668544738,-0.232885489628252,-1.17122520131408,0.128049662850705,-16.600153453658,NA,FALSE,TRUE,FALSE,TRUE,NA,-0.279960026357871,-1.05314991459135,-0.360002734031407,-17.3557350075862,NA,FALSE,TRUE,FALSE,TRUE,NA
"PLALAN",159,0.00196765387239344,-4.76614987723224,155,0.00124485580567414,1.70845542511413e-05,0.0271669721173157,0.0268409343553761,2.83881917990658e-07,0.0773254438843864,-0.424754873774608,1.16867237149808e-10,0.0613375526258027,0.0238740461171372,0.0482633515305847,0.00580673035601203,0.00387662135607742,-3.56910003165228,0.169353555576967,-3.56910003165228,0.0681595333548097,0.0139633418415354,0.351013374726489,NA,NA,FALSE,FALSE,FALSE,NA,NA,0.0400740516301505,-0.0833747159104836,0.0276515312435446,NA,NA,FALSE,FALSE,FALSE,NA,NA
"POAPRA",233,0.05285499315847,36.0682489279563,229,0.00113818219293009,6.04751637172081e-10,0.0492623866044362,0.0152640788882806,0.00012045881176676,0.0688077334902675,-0.343811104253134,9.30724388972185e-13,0.0424024563924489,0.0432729755076951,7.16454358632896e-09,0.0364522559190902,0.0336416666943351,20.0489931725535,0.230566499100578,20.0489931725535,-0.285597400854216,-0.137589214080755,-16.155197573716,-0.725250761785398,NA,FALSE,FALSE,TRUE,TRUE,NA,-0.278836701197624,-0.0852664318677981,-15.8654373061912,-1.15738710508893,NA,FALSE,FALSE,TRUE,TRUE,NA
"POLTET",46,0.058544498955511,1.50927420415189,42,0.000681290840909956,0.227541666612704,0.0248111234326454,0.00321819585457835,0.469478981328114,2.82158133010953e-06,-0.157656510506154,0.149742634587222,0.0431318158143372,0.0179334567652091,0.142185787240411,0.0233439395417619,0.0434879341046023,0.0923905376047287,0.0772012658279621,0.0923905376047287,0.219216227667355,-0.0683164596120451,NA,NA,NA,FALSE,FALSE,NA,NA,NA,0.242730684492509,-0.0731222636815076,NA,NA,NA,FALSE,FALSE,NA,NA,NA
"RUMACE",230,0.0242605329565892,13.7271496477808,226,0.0012164859276527,1.41192964552017e-17,0.138823801760872,0.01936306645222,4.09043005760675e-19,0.107518192313087,-0.244282724366625,2.40210643162978e-10,0.0462964241682419,-0.000542338791626426,0.928941115062456,1.71808896173764e-05,0.00521020231430713,-3.33386815612312,0.297856918015293,-3.33386815612312,-0.0165414255521495,0.0530361777292218,0.217215104497711,-0.748417261493748,NA,FALSE,FALSE,FALSE,FALSE,NA,-0.036693057148503,0.00761828324696132,0.4705547452696,-1.60888679641024,NA,FALSE,FALSE,FALSE,TRUE,NA
"RYTCAE",33,0.121093932409638,3.57663161682345,29,0.000578137086288574,0.248855852095871,0.115629239352357,0.00301448754676495,0.703600445452463,0.0248328803554009,-0.453334435803571,5.86356202501639e-05,0.21588360728322,-0.0073265073199212,0.60674573426993,0.000771416833852968,0.0348939195227832,-6.0878147930209,0.388939693998622,-6.08781479302093,-0.0861087212341775,-0.116345662046664,0.229912602172992,0.0119553137154996,-0.64259168231113,FALSE,FALSE,FALSE,FALSE,FALSE,-0.208297043197212,-0.336472236621213,-0.182321556793954,-0.444685821261422,-1.13783300182139,FALSE,FALSE,FALSE,FALSE,TRUE
"RYTRAC",94,0.141688283001801,28.3902263554177,90,0.00161387100338759,2.08104792416123e-08,0.198958850729157,0.00850717958417138,0.0404125923072659,0.0123350494206632,0.0653803375710152,0.370773011063561,0.000345524783009013,0.0236532673482312,0.00517850270873485,0.0432247857600313,0.0644881214077671,7.4729591299257,0.300694507317551,7.4729591299257,0.176325507074418,-0.126207694881935,-0.438986885837069,-0.22718853815425,-0.19727691243653,FALSE,FALSE,FALSE,FALSE,FALSE,0.149260694533065,-0.225021486138411,-0.509200928038989,-0.516403840333048,-0.669049628980886,FALSE,FALSE,TRUE,TRUE,TRUE
"SILGAL",93,0.0488123564235416,5.18522336885349,89,-0.00034861493258343,0.406701718572308,0.00369348401492664,0.015261407886371,9.96030796992172e-05,0.0955607293635322,-0.0167522900614955,0.845488876476047,0.00211733622230576,0.0114509308779017,0.218628737770805,0.0113555383961324,0.0195607147288964,-1.51771355599601,0.122232692025291,-1.51771355599601,0.105009615305371,0.0442911530351219,0.701556954003153,NA,NA,FALSE,FALSE,TRUE,NA,NA,0.207014169384326,0.0689928714869518,0.890972923889864,NA,NA,FALSE,FALSE,TRUE,NA,NA
"STEMED",78,0.0241611149640813,2.46516915122447,74,0.000944806018807077,0.0100549327350724,0.00152362586748421,0.0326995557090536,2.68175643437232e-12,0.146454183906032,-0.506463992358719,2.08581866778716e-08,0.0557284098417942,0.090537652849663,3.28130222352537e-13,0.145015767605444,0.0176779676893019,0.193711960821815,0.347494349881624,0.193711960821815,-0.0489005114642928,0.265395824630051,-1.39081249080779,NA,NA,FALSE,FALSE,TRUE,NA,NA,0.161869367929488,0.0671730347740468,-1.74111573640945,NA,NA,FALSE,FALSE,TRUE,NA,NA
"TAROFF",168,0.0252235877289826,17.098658030676,164,0.00212665213023666,8.88785392980244e-21,0.106948962533187,0.0289147806792033,3.27529197916871e-10,0.0785872889965531,-0.55533265518122,3.46210773420989e-23,0.101975615954219,0.0293132785562097,0.0047417884111095,0.0103570174395955,0.0115002104211993,4.5313895332531,0.309369095344754,4.5313895332531,-0.293131805671379,0.0174511336194595,-13.4256931957033,NA,NA,FALSE,FALSE,TRUE,NA,NA,-0.373104886756271,0.00612371785052554,-14.8498098209298,NA,NA,FALSE,FALSE,TRUE,NA,NA
"TRIDUB",401,0.0091994798345106,7.28844478264227,397,0.00151781469677677,1.16576344918399e-40,0.122644047169303,0.0174503708279382,2.47072222617513e-24,0.0747336533453967,-0.250448075347048,3.52856184058557e-15,0.0332799944297919,0.0182583443176941,0.000177603623465672,0.00902587392327946,0.0047509223293022,-0.104530364240418,0.244434491197073,-0.104530364240418,0.146413453319087,0.0366739433066352,0.0845248429714726,0.0770018690628277,NA,FALSE,FALSE,FALSE,FALSE,NA,0.176512084762653,0.122974705024026,0.237547092505285,0.0763491671626235,NA,FALSE,FALSE,FALSE,FALSE,NA
"TRIGLO",188,0.0271074122526335,4.91489479585789,184,0.000309436256216445,0.20603366619528,0.0137792555608205,0.0161448273405064,1.22840501238696e-06,0.073903939765156,-0.141372976514263,0.00951937453361481,0.0116693752306727,0.0254875929206361,0.00014869707461164,0.0351109526558389,0.0306172246955459,6.58708902933722,0.165080747908034,6.58708902933722,0.157123160438667,-0.0244194592574329,-0.345408937411522,-0.11073868843197,NA,FALSE,FALSE,FALSE,FALSE,NA,0.171710438563194,-0.0286535627060494,-0.253349737149721,-0.118247252299149,NA,FALSE,FALSE,FALSE,FALSE,NA
"TRIPRA",63,0.134903357715957,18.8901505193721,59,0.00195893451940364,0.00257577026416259,0.0633375276056379,0.0135272886071622,0.203556486618066,0.0983771515220124,-0.638441431463883,1.22297671770375e-07,0.137163948641734,0.0177053530357205,0.464752762809175,0.0308837273440349,0.101955250148119,12.3226373986603,0.431717605261538,12.3226373986603,-0.050042505661495,0.696093977039416,-0.112059695106956,-0.461440225733747,NA,FALSE,TRUE,FALSE,FALSE,NA,-0.0382212155785969,0.753771799618858,-0.597837003514085,-0.374693436565427,NA,FALSE,TRUE,TRUE,FALSE,NA
"TRIREP",515,0.0738226871595557,184.318437955508,511,0.00197412086195406,5.12316986746306e-80,0.168498563277013,0.0152281197422882,4.60272284016099e-22,0.0831494594883031,-0.291045589854319,3.1289267636407e-24,0.0386122601248593,0.0213478722258855,4.28719952380437e-07,0.00893660267783305,0.0422871645389618,102.163985390065,0.34148405010697,102.163985390066,-0.0429145399571449,-0.263441544425111,-0.525631299162522,-0.572701757409287,NA,FALSE,TRUE,TRUE,TRUE,NA,-0.0568610069179748,-0.316572530942511,-0.612608318074354,-0.737658981061827,NA,FALSE,TRUE,TRUE,TRUE,NA
"TRISTT",177,0.0280548651798372,6.69647496092534,173,0.000205759300980957,0.369678796707892,0.0288465392470908,0.0228779607899517,9.54338724234727e-15,0.121316895427539,-0.0338391989177546,0.52884718959456,0.000161109812476006,0.0231779746330928,0.000583907658341814,0.0263720881754852,0.0263777323679092,5.81791289268358,0.20231815231295,5.81791289268358,-0.106379365036774,0.00708754539109037,-0.435506958944065,-0.372530592983419,NA,FALSE,FALSE,TRUE,TRUE,NA,-0.00647251450566935,-0.000202901492074805,-0.443686320928414,-0.39288942764314,NA,FALSE,FALSE,TRUE,TRUE,NA
