"","SurveyName","SurveyStartYear","SurveyEndYear","PlotName","PlotFK","SpeciesCode","SpeciesName","HeightClassDescription","DominanceClass","DominanceClassDescription","DominanceRank","SpeciesType","domlevels","abun","SpeciesCode.tmp"
"746","Banks Peninsula Botanical Survey",1983,1988,"27",94323,"WEISSI","Weissia Hedw.","No Height Class","C","Occasional",21,"Non-Vascular",6,1,"WEISSI"
"764","Banks Peninsula Botanical Survey",1983,1988,"28",94042,"BAEOMY","Baeomyces Pers.","No Height Class","B-C","Common-Occasional",15,"Non-Vascular",5,2,"BAEOMY"
"774","Banks Peninsula Botanical Survey",1983,1988,"28",94042,"BRYOPH","Bryophyte","No Height Class","C","Occasional",25,"Non-Vascular",6,1,"BRYOPH"
"793","Banks Peninsula Botanical Survey",1983,1988,"29",94045,"OXALIS","OXALIS SPECIES","No Height Class","C","Occasional",17,"Vascular",6,1,"OXALIS"
"812","Banks Peninsula Botanical Survey",1983,1988,"30",94333,"GRIPUL","Grimmia pulvinata (Hedw.) Sm. & Sowerby","No Height Class","B","Common",17,"Non-Vascular",4,3,"GRIPUL"
"841","Banks Peninsula Botanical Survey",1983,1988,"31",94334,"EHRPOL","Ehrharta polynoda","No Height Class","B","Common",6,"Vascular",4,3,"EHRPOL"
"854","Banks Peninsula Botanical Survey",1983,1988,"31",94334,"METZGE","Metzgeria","No Height Class","B-C","Common-Occasional",19,"Non-Vascular",5,2,"METZGE"
"855","Banks Peninsula Botanical Survey",1983,1988,"31",94334,"RHYTEN","Rhynchostegium tenuifolium (Hedw.) Reichardt","No Height Class","B-C","Common-Occasional",20,"Non-Vascular",5,2,"RHYTEN"
"857","Banks Peninsula Botanical Survey",1983,1988,"31",94334,"PORELE","PORELLA ELEGANTULA","No Height Class","B-C","Common-Occasional",22,"Non-Vascular",5,2,"PORELE"
"858","Banks Peninsula Botanical Survey",1983,1988,"31",94334,"LOPMUR","Lophocolea muricata (Lehm.) Nees","No Height Class","B-C","Common-Occasional",23,"Non-Vascular",5,2,"LOPMUR"
"860","Banks Peninsula Botanical Survey",1983,1988,"31",94334,"FISPUN","Fissidens pungens Müll.Hal. & Hampe","No Height Class","C","Occasional",25,"Non-Vascular",6,1,"FISPUN"
"864","Banks Peninsula Botanical Survey",1983,1988,"31",94334,"CAMPTO","Camptochaete Reichardt","No Height Class","C","Occasional",29,"Non-Vascular",6,1,"CAMPTO"
"865","Banks Peninsula Botanical Survey",1983,1988,"31",94334,"LUNULA","Lunularia","No Height Class","C","Occasional",30,"Non-Vascular",6,1,"LUNULA"
"866","Banks Peninsula Botanical Survey",1983,1988,"31",94334,"RACSTR","RACOMITRIUM STRIATIPILUM","No Height Class","C","Occasional",31,"Non-Vascular",6,1,"RACSTR"
"886","Banks Peninsula Botanical Survey",1983,1988,"32",94721,"APHMIC","Aphanes microcarpa","Canopy","C","Occasional",19,"Vascular",6,1,"APHMIC"
"1097","Banks Peninsula Botanical Survey",1983,1988,"42",94229,"LOPHOC","Lophocolea","No Height Class","C","Occasional",29,"Non-Vascular",6,1,"LOPHOC"
"1107","Banks Peninsula Botanical Survey",1983,1988,"42",94229,"CERATO","Ceratodon Brid.","No Height Class","C","Occasional",39,"Non-Vascular",6,1,"CERATO"
"1109","Banks Peninsula Botanical Survey",1983,1988,"42",94229,"MARCHA","MARCHANTIA SPECIES","No Height Class","C","Occasional",41,"Non-Vascular",6,1,"MARCHA"
"1165","Banks Peninsula Botanical Survey",1983,1988,"45",94043,"CERFST","Cerastium fontanum subsp. triviale","No Height Class","B","Common",10,"Vascular",4,3,"CERFST"
"1173","Banks Peninsula Botanical Survey",1983,1988,"45",94043,"HYDNZM","HYDROCOTYLE NOVAE-ZEELANDIAE VAR. MONTANA","No Height Class","C","Occasional",18,"Vascular",6,1,"HYDNZM"
"1200","Banks Peninsula Botanical Survey",1983,1988,"46",94044,"ANDREA","ANDREAEA SPECIES","No Height Class","B","Common",20,"Non-Vascular",4,3,"ANDREA"
"1203","Banks Peninsula Botanical Survey",1983,1988,"46",94044,"TELOSC","Teloschistes Norman","No Height Class","B","Common",23,"Non-Vascular",4,3,"TELOSC"
"1224","Banks Peninsula Botanical Survey",1983,1988,"46",94044,"LIVERW","LIVERWORT","No Height Class","B","Common",44,"Non-Vascular",4,3,"LIVERW"
"1230","Banks Peninsula Botanical Survey",1983,1988,"46",94044,"CHILOS","CHILOSCYPHUS SPECIES","No Height Class","C","Occasional",50,"Non-Vascular",6,1,"CHILOS"
"1231","Banks Peninsula Botanical Survey",1983,1988,"46",94044,"LEMBOP","Lembophyllum Lindb.","No Height Class","B-C","Common-Occasional",51,"Non-Vascular",5,2,"LEMBOP"
"1233","Banks Peninsula Botanical Survey",1983,1988,"46",94044,"DICRAN","DICRANOLOMA SPECIES","No Height Class","B-C","Common-Occasional",53,"Non-Vascular",5,2,"DICRAN"
"1240","Banks Peninsula Botanical Survey",1983,1988,"47",94046,"TREJOL","Trentepohlia jolithus (L.) Mart.","No Height Class","B","Common",7,"Non-Vascular",4,3,"TREJOL"
"1242","Banks Peninsula Botanical Survey",1983,1988,"47",94046,"MENEGA","MENEGAZZIA SPECIES","No Height Class","A","Abundant",9,"Non-Vascular",2,5,"MENEGA"
"1244","Banks Peninsula Botanical Survey",1983,1988,"47",94046,"PANNOP","Pannoparmelia (Müll.Arg.) Darb.","No Height Class","A","Abundant",11,"Non-Vascular",2,5,"PANNOP"
