"","sp","th","prevalence","n.plot.impact","prop.plot.impact","mean.dif","wtd.mean.dif","th.dif","max.dif","SRo","prop.mean.dif","prop.wtd.mean","prop.max.dif","impact.index"
"POLTET","POLTET",NA,"49","0","0",NA,NA,NA,NA,"7.17241379310345",NA,NA,NA,NA
"PTEESC","PTEESC",NA,"60","0","0",NA,NA,NA,NA,"8.45454545454546",NA,NA,NA,NA
"RUMACE","RUMACE",NA,"229","0","0",NA,NA,NA,NA,"7.49586776859504",NA,NA,NA,NA
"RYTCAE","RYTCAE",NA,"38","0","0",NA,NA,NA,NA,"7.8",NA,NA,NA,NA
"RYTCLA","RYTCLA",NA,"278","0","0",NA,NA,NA,NA,"6.63513513513514",NA,NA,NA,NA
"RYTGRA","RYTGRA",NA,"27","0","0",NA,NA,NA,NA,"16.7142857142857",NA,NA,NA,NA
"RYTRAC","RYTRAC",NA,"103","0","0",NA,NA,NA,NA,"7.32142857142857",NA,NA,NA,NA
"RYTUNA","RYTUNA",NA,"58","0","0",NA,NA,NA,NA,"8.93939393939394",NA,NA,NA,NA
"SILGAL","SILGAL",NA,"100","0","0",NA,NA,NA,NA,"5.33333333333333",NA,NA,NA,NA
"STEMED","STEMED",NA,"86","0","0",NA,NA,NA,NA,"5.7037037037037",NA,NA,NA,NA
"TAROFF","TAROFF",NA,"175","0","0",NA,NA,NA,NA,"4.6984126984127",NA,NA,NA,NA
"TRIDUB","TRIDUB",NA,"411","0","0",NA,NA,NA,NA,"5.84848484848485",NA,NA,NA,NA
"TRIGLO","TRIGLO",NA,"191","0","0",NA,NA,NA,NA,"5.69014084507042",NA,NA,NA,NA
"TRIPRA","TRIPRA",NA,"68","0","0",NA,NA,NA,NA,"1.81818181818182",NA,NA,NA,NA
"TRIREP","TRIREP","3","526","437","0.830798479087453","3.59137927526501","3.3010878010878","2.33669250645995","4.49300087489064","8.61111111111111","0.417063399708195","0.383352131739228","0.521767843535687","0.318488368003884"
"TRISTT","TRISTT","4","180","22","0.122222222222222","2.0629995004995","2.03896103896104","2.16396103896104","2.16396103896104","6.03896103896104","0.341614971050455","0.337634408602151","0.358333333333333","0.0412664277180406"
"TRISUB","TRISUB",NA,"134","0","0",NA,NA,NA,NA,"4.70175438596491",NA,NA,NA,NA
"VICSAT","VICSAT",NA,"305","0","0",NA,NA,NA,NA,"6.76760563380282",NA,NA,NA,NA
"VIOCUN","VIOCUN",NA,"36","0","0",NA,NA,NA,NA,"15.2592592592593",NA,NA,NA,NA
"VULBRO","VULBRO",NA,"207","0","0",NA,NA,NA,NA,"5.70238095238095",NA,NA,NA,NA
"WAHGRA","WAHGRA",NA,"143","0","0",NA,NA,NA,NA,"8.3855421686747",NA,NA,NA,NA
